MSRN Structure (MNC 06),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
State,CC,NDC,Prefix,Complement,,
PR,"55
55
55
55
55
55
55","41
41
42
43
44
45
46","9100
9100
9100
9100
9100
9100
9100","9YXX
8XXX
0YXX
9YXX
0YXX
0YXX
5YXX","Y=0...5
Y=0
Y=0...1
Y=0...1
Y=0...1
Y=0","X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9"
SC,"55
55
55","47
48
49","9100
9100
9100","9YXX
5YXX
5YXX","Y=0...5
Y=0...3
Y=0...1","X=0...9
X=0...9
X=0...9"
RS,"55
55
55
55
55
55
55
55
55
55
55
55
55","51
51
51
51
51
51
51
51
53
54
54
55
55","9747
9747
9747
9747
9747
9747
9747
9747
9944
9604
9961
9636
9636","0XXX
1YXX
2XXX
3YXX
4XXX
5XXX
6XXX
7XXX
5YXX
5XXX
0XXX
5XXX
8XXX","Y=0...3
Y=0...2
Y=0","X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9"
DF,"55
55
55
55","61
61
62
62","9960
9960
9960
9970","0YXX
1YXX
9YXX
1YXX","Y=0...7
Y=5...6
Y=9
Y=8...9","X=0...9
X=0...9
X=0...9
X=0...9"
GO,"55
55
55","62
64
64","9960
9980
9980","9YXX
7YXX
71YX","Y=0...8
Y=0, 2...3
Y=1...9","X=0...9
X=0...9
X=0...9"
TO,55,63,9970,9YXX,Y=0...2,X=0...9
MT,"55
55
55
55","65
65
66
66","9980
9980
9980
9980","5YXX
4YXX
4YXX
5YXX","Y=0...6, 9
Y=0...4
Y=0...3
Y=0...9","X=0...9
X=0...9
X=0...9
X=0...9"
MS,"55
55","67
67","9990
9990","0XXX
2YXX",Y=0...2,"X=0...9
X=0...9"
AC,55,68,9980,2XXX,,X=0...9
