4.0,2007-01-29,"Guilherme Felizola
Carrapatoso","(cid:1) GPRS Information Addition;
(cid:1) MSRN Structure Updated."
V4.1,2007-03-01,Conrado Caon,(cid:1) GPRS Information Addition;
V4.2,2007-03-06,"Guilherme Felizola
Carrapatoso","(cid:1) International SCCP Gateway Addition.
(cid:1) MSRN Structure Updated.
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) GPRS Information Addition (Inter PLMN IP
ranges)"
V4.3,2007-03-09,"Guilherme Felizola
Carrapatoso","(cid:1) GPRS Information Addition (Inter PLMN IP
ranges)"
V4.4,2007-05-03,"Guilherme Felizola
Carrapatoso",(cid:1) International SCCP Gateway Addition.
V4.5,2007-06-06,"Guilherme Felizola
Carrapatoso","(cid:1) Contact List Updated.
(cid:1) MSRN Structure (MNC 06).
(cid:1) GT Network Element (SMSC – MNC11).
(cid:1) MSISDN Structure (MNC 10 and 11)."
V4.6,2007-09-14,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure (MNC 11).
(cid:1) GT Network Element (MNC 10 and 11).
(cid:1) MSISDN Structure (MNC 06, 10 and 11)."
V4.7,2007-10-15,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V4.8,2007-11-22,"Guilherme Felizola
Carrapatoso",(cid:1) MSRN Structure
V4.9,2008-01-17,"Suzana Soares
Duprat","(cid:1) MSRN Structure
(cid:1) MSISDN Structure"
V5.0,2008-04-17,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure
(cid:1) MSISDN Structure
(cid:1) Automatic Roaming Testing"
V6.0,2008-04-30,"Guilherme Felizola
Carrapatoso",(cid:1) International SCCP Diagram
V7.0,2008-05-15,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V8.0,2008-06-05,"Guilherme Felizola
Carrapatoso",(cid:1) Data Addition (International SCCP Gateway).
V9.0,2008-07-30,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V10.0,2008-09-15,"Guilherme Felizola
Carrapatoso","(cid:1) GPRS Information Addition (3G Network)
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) MSISDN Structure"
V11.0,2008-11-19,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V12.0,2009-01-16,"Guilherme Felizola
Carrapatoso","(cid:1) Contact List Updated.
(cid:1) GT Addresses (E164) of Entities Updated"
V13.0,2009-02-06,"Guilherme Felizola
Carrapatoso",(cid:1) MSISDN Structure
V14.0,2009-02-16,"Guilherme Felizola
Carrapatoso","(cid:1) MSRN Structure (MNC 06).
(cid:1)"
V15.0,2009-05-13,"Guilherme Felizola
Carrapatoso","(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) Global Title Addresses (E.164) of Entities"
V16.0,2009-06-05,Cleiton Pinheiro,(cid:1) Contact List Update
V17.0,2009-06-18,Cleiton Pinheiro,(cid:1) Update Number Portability
