imsiRetrieval,Column_2,N/A,Column_4,Column_5,Column_6
gprsNotifyContext,N/A,V3,,,
gprsLocationInfoRetrieval,N/A,V3,,,
failureReport,N/A,,,,
secureTransportHandling,,,,,
Optimal Routeing of mobile-to-mobile calls,,,,,
Application Context Name,Current Version,,,Comments,
,(V)MSC9,GMSC,HLR,,
CallControlTransfer,N/A,N/A,N/A,,
LocationInfoRetrieval10,N/A,N/A,N/A,,
Inter-Operator SMS Enhancement,,,,,
Application Context Name,Current Version,,,Comments,
,"SMS-
IWMSC","SMS-
GMSC",HLR,,
shortMsgGateway,N/A,V2,V2,,
shortMsgAlert,N/A,N/A,N/A,,
