Vendor Information,Column_2
BSS vendor(s) and SW/HW version:,"HUW-V900R011/
E//-AXE 810 212 33 C"
HLR vendor(s) and SW/HW version:,Ericsson / AXE810 / R12
MSC/VLR vendor(s) and SW/HW version:,
,Ericsson / AXE 810 / R12
,Ericsson / AXE 810 / R12
SMSC vendor(s) and SW/HW version:,HUWAEI
SGSN vendor(s) and SW/HW version:1,Ericsson 2010B CP02
GGSN vendor(s) and SW/HW version:,"Ericsson R4 , Ericsson 2010B CP05"
MMSC vendor(s) and SW/HW version:,Huawie InfoX MMSC v100R002
IN vendor(s) and SW/HW version:,HUWAEI
