"1.1.1.History of changes
(Maximum length 1 page only)",Column_2,Column_3,Column_4
"Date of
Change","Effective
Date",Changes Made,
01/07/2015,01/07/2015,Updated Contact Information,
01/07/2015,01/07/2015,GGSN IP address has been added,
03/03/2014,03/03/2014,SGSN GT has been added.,
12/02/2013,12/02/2013,"Updated all IP address ranges used by PLMN for
connection to Inter-PLMN IP backbone",
26/05/2015,26/05/2015,Updated Contact Information,
17/01/2013,17/01/2013,"Updated all IP address ranges used by PLMN for
connection to Inter-PLMN IP backbone",
08/01/2013,08/01/2013,Updated GRX provider DNS names/IP Addresses,
08/01/2013,08/01/2013,"Updated all IP address ranges used by PLMN for
connection to Inter-PLMN IP backbone",
21/12/2012,21/12/2012,Updated Contact Information,
21/12/2012,21/12/2012,Updated SGSN/GGSN Software/Hardware Versions,
29/05/2012,29/05/2012,"Added ISPC’s for SCCP gateway JUEBC1-STP1 and
JUEBC2-STP2",
29/05/2012,29/05/2012,,SCCP Gateway for ITU/ANSI to Syniverse
,,,Technologies. .
