"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,33,602,000000,199999,,,
,33,607,000000,999999,,,
,33,608,000000,999999,,,
,33,630,000000,999999,,,
,33,631,000000,999999,,,
,33,632,000000,999999,,,
,33,633,000000,999999,,,
,33,636,500000,999999,,,
,33,637,000000,999999,,,
,33,638,100000,999999,,,
,33,640,100000,999999,,,
,33,641,600000,619999,,,
,33,641,700000,799999,,,
,33,642,000000,999999,,,
,33,643,000000,999999,,,
,33,644,100000,399999,,,
,33,645,000000,999999,,,
,33,647,000000,999999,,,
,33,648,000000,999999,,,
,33,649,000000,499999,,,
,33,649,510000,599999,,,
,33,649,600000,899999,,,
,33,649,920000,939999,,,
,33,670,000000,999999,,,
,33,671,000000,999999,,,
,33,672,000000,999999,,,
,33,673,000000,999999,,,
,33,674,000000,999999,,,
,33,675,000000,999999,,,
,33,676,000000,999999,,,
,33,677,000000,999999,,,
,33,678,000000,999999,,,
,33,679,000000,999999,,,
,33,680,000000,999999,,,
,33,681,000000,999999,,,
,33,682,000000,999999,,,
,33,683,000000,999999,,,
,33,684,000000,999999,,,
,33,685,000000,999999,,,
,33,686,000000,999999,,,
,33,687,000000,999999,,,
