TADIG Code,Section ID,Section,Date,Description
FRAF1,4,Routing Information,2019-03-26,Add new MSISDN range: 3375706 (related to NORDNET )
FRAF1,21,Contact Information,2019-03-18,Update Contacts
AAZOR,21,Contact Information,2019-03-18,Update Contacts
FRAF1,4,Routing Information,2018-12-17,Add Additional Information about GT with Monaco Telecom
FRAF1,4,Routing Information,2018-09-12,Add new MSISDN range: 33774 (related to SYMA Mobile )
FRAF1,4,Routing Information,2018-08-06,Add new MSISDN range : 3375435-3375439 (related to PRIXTEL)
FRAF1,4,Routing Information,2018-08-06,"Add new MSISDN: 3360255; 3360257-3360259; 3375004;
3375006; 3375432; 3375567-3375568 (related to EIT)"
FRAF1,13,Network Elements Information,2018-08-06,"Remove old SGSN-2G+3G: 33689003333; 33689003337;
33689003350; 33689003354; 33689003356; 33689007101/8"
AAZOR,17,IP Roaming/Networking Information,2018-07-17,"Add new IP address for AAZOR: 80.10.111.16/28 80.10.111.32/28
80.10.111.48/32 80.10.111.49/32"
FRAF1,13,Network Elements Information,2018-06-15,"Update SMSC and Add new IP-SMGW GT: 33689004041,
33689004042, 33689004043 and 33689004044"
FRAF1,4,Routing Information,2018-05-23,Add new MSISDN range : 3375059 ( related to SEWAN)
FRAF1,13,Network Elements Information,2018-04-19,Add new SGW
FRAF1,4,Routing Information,2018-04-18,Add new MSISDN range 3375072
FRAF1,13,Network Elements Information,2018-04-18,Add new SGSN 33689003354
FRAF1,4,Routing Information,2018-04-16,Correction in Additional information
FRAF1,4,Routing Information,2018-03-08,"Remove MSISDN ranges : 3377156 and 3377157 (related to NRJ
Mobile)"
FRAF1,4,Routing Information,2018-03-08,Correct the Voice Mail number
FRAF1,4,Routing Information,2018-03-08,Modify the Customer Care number
FRAF1,4,Routing Information,2018-03-08,Add new MSISDN range : 33773 ( related to SYMA MOBILE)
FRAF1,4,Routing Information,2018-03-08,"Add new MSISDN range : 3375558 and 3375559 ( related to
SEWAN)"
FRAF1,4,Routing Information,2018-03-05,"Remove MSISDN range : 3377158 and 3377159 (related to NRJ
Mobile)"
FRAF1,13,Network Elements Information,2018-01-05,"Add new MMSC GT: 33689005226, 33689005227 and 33
689005147"
FRAF1,13,Network Elements Information,2018-01-04,Remove old MMSC GT: 33689005140/9
FRAF1,4,Routing Information,2018-01-02,Remove MSISDN range: 337574 (related to Coriolis)
FRAF1,4,Routing Information,2017-10-23,Modify the Voice Mail number
FRAF1,4,Routing Information,2017-09-20,Add new MSISDN range 33772
FRAF1,13,Network Elements Information,2017-09-18,Add new SGSN
FRAF1,4,Routing Information,2017-08-07,Add new MSISDN range 3375565
FRAF1,13,Network Elements Information,2017-08-07,Add new SGSN GT 33689003344 and GT 33689003345
AAZOR,4,Routing Information,2017-07-13,15 MSISDN digits supported
AAZOR,16,Packet Data Service Information,2017-07-13,IPV6 supported
AAZOR,20,LTE Roaming Information,2017-07-13,IPV6 supported
FRAF1,4,Routing Information,2017-06-29,Add new MSISDN range 337849
FRAF1,4,Routing Information,2017-06-27,Update MSISDN size
FRAF1,4,Routing Information,2017-06-15,Add new MSISDN range 3375740-3375749
FRAF1,13,Network Elements Information,2017-05-18,Add new SGSN GT 33689003336
FRAF1,13,Network Elements Information,2017-05-03,Add new SGSN GT 33689003343
FRAF1,4,Routing Information,2017-03-31,Add new MSISDN range 3375057-3375058
FRAF1,21,Contact Information,2017-03-29,Update Contacts
FRAF1,13,Network Elements Information,2017-03-27,Add new SGSN GT 33689003332
FRAF1,13,Network Elements Information,2017-02-02,Add new SGSN GT 33689003342
