Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
GGSN,,,80.10.3.32/27,,Ericsson,2011A,+01:00
GGSN,,,80.10.2.96/27,,Ericsson,2011A,+01:00
GGSN,,,80.10.3.192/26,,Ericsson,2011A,+01:00
GGSN,,,80.10.2.64/27,,Ericsson,2011A,+01:00
GGSN,,,80.10.2.160/27,,Ericsson,2011A,+01:00
HLR,,33 689002 000 / 999,,,Alcatel-Lucent,R3.2,+01:00
HLR,,33 689005 000 / 999,,,,,+01:00
HLR,,33 689008 000 / 999,,,,,+01:00
MMSC,,33 6890034 46 / 48,,,NSN,R5.0,+01:00
MMSC,,33 6890035 10 / 29,,,NSN,R5.0,+01:00
MMSC,,33 6890052 26 / 27,,,Mavenir,V3.3,+01:00
MMSC,,33 689004089,,,FT/I-BNF,,+01:00
MMSC,,33 689005147,,,Mavenir,V3.3,+01:00
MSC/VLR-2G+3G,,33 68900 0000 / 1999,,,Ericsson,MSS 4.1,+01:00
PGW,,,80.10.2.36,,CISCO,R15,+01:00
PGW,,,80.10.3.2,,CISCO,R15,+01:00
PGW,,,80.10.2.42,,CISCO,R15,+01:00
PGW,,,80.10.2.34,,CISCO,,+01:00
PGW,,,80.10.2.38,,CISCO,,+01:00
PGW,,,80.10.2.40,,CISCO,,+01:00
PGW,,,80.10.2.130,,CISCO,,+01:00
PGW,,,80.10.2.132,,CISCO,,+01:00
PGW,,,80.10.3.80,,CISCO,,+01:00
PGW,,,80.10.2.136,,CISCO,,+01:00
PGW,,,80.10.2.138,,CISCO,,+01:00
SCP,,33 689003 000 / 999,,,Alcatel-Lucent,R2.4,+01:00
SCP,,33 689006 000 / 999,,,Alcatel-Lucent,R2.4,+01:00
SCP,,33 689008 000 / 999,,,,,+01:00
SGSN-2G+3G,,33 689003330,0.0.0.0,,Ericsson,2012B,+01:00
SGSN-2G+3G,,33 6890033 90 / 99,0.0.0.0,,Ericsson,2012B,+01:00
SGSN-2G+3G,,33 689007100,0.0.0.0,,CISCO,,+01:00
SGSN-2G+3G,,33 689003331,0.0.0.0,,Ericsson,16A/MKX,+01:00
SGSN-2G+3G,,33 689003332,0.0.0.0,,Ericsson,16A/ MKX,+01:00
SGSN-2G+3G,,33 689003336,0.0.0.0,,Ericsson,1.7/MKX,+01:00
SGSN-2G+3G,,33 689003342,0.0.0.0,,Ericsson,16A/MKX,+01:00
SGSN-2G+3G,,33 689003343,0.0.0.0,,Ericsson,1.7/MKX,+01:00
SGSN-2G+3G,,33 689003344,0.0.0.0,,Ericsson,1.9/MKX,+01:00
SGSN-2G+3G,,33 689003345,0.0.0.0,,Ericsson,1.9/MKX,+01:00
SGSN-2G+3G,,33 689003346,0.0.0.0,,Ericsson,1.9/MKX,+01:00
SGSN-2G+3G,,33 689003359,0.0.0.0,,Ericsson,16A / MkX,+01:00
SGSN-2G+3G,,33 689003399,0.0.0.0,,Ericsson,16A/MKX,+01:00
SGW,,33 6,80.10.2.35,,CISCO,R15,+01:00
SGW,,33 6,80.10.3.1,,CISCO,R15,+01:00
SGW,,33 6,80.10.2.41,,CISCO,R15,+01:00
SGW,,33 6,80.10.2.33,,CISCO,,+01:00
SGW,,33 6,80.10.2.37,,CISCO,,+01:00
SGW,,33 6,80.10.2.39,,CISCO,,+01:00
SGW,,33 6,80.10.2.129,,CISCO,,+01:00
SGW,,33 6,80.10.2.45,,CISCO,,+01:00
SGW,,33 6,80.10.2.131,,CISCO,,+01:00
SGW,,33 6,80.10.3.79,,CISCO,,+01:00
SGW,,33 6,80.10.2.135,,CISCO,,+01:00
SGW,,33 6,80.10.2.137,,CISCO,,+01:00
SGW,,33 6,80.10.3.203,,CISCO,,+01:00
SGW,,33 6,80.10.3.204,,CISCO,,+01:00
SGW,,33 6,80.10.3.205,,CISCO,,+01:00
SMSC,,33 689005 100 / 299,,,Voice Mail SMS,,+01:00
SMSC,,33 689008 000 / 999,,,,,+01:00
SMSC,,33 6890040 00 / 29,,,Xura,v5.4,+01:00
SMSC,,33 6890067 20 / 59,,,Voice Mail SMS,,+01:00
SMSC,STP,33 68900409 0 / 9,,,Tekelec,Eagle XG,+01:00
