Date,Description
2018-08-06,Remove old SGSN-2G+3G: 33689003333; 33689003337; 33689003350; 33689003354; 33689003356; 33689007101/8
2018-06-15,"Update SMSC and Add new IP-SMGW GT: 33689004041, 33689004042, 33689004043 and 33689004044"
2018-04-19,Add new SGW
2018-04-18,Add new SGSN 33689003354
2018-01-05,"Add new MMSC GT: 33689005226, 33689005227 and 33 689005147"
2018-01-04,Remove old MMSC GT: 33689005140/9
2017-09-18,Add new SGSN
2017-08-07,Add new SGSN GT 33689003344 and GT 33689003345
2017-05-18,Add new SGSN GT 33689003336
2017-05-03,Add new SGSN GT 33689003343
2017-03-27,Add new SGSN GT 33689003332
2017-02-02,Add new SGSN GT 33689003342
2016-10-24,Add new SMSC GT 33689004033 and 33689004034
2016-10-24,Add new SGSN GT 33689003331 and GT 33689003399
2016-07-26,Add new SGSN
2016-04-26,Add new SMSC
2015-02-23,"Update SGSN 2G/G3 Ericsson SGSN MME ,SGW ,PGW new SW/HW version"
2014-12-01,Additional HLRs (33689005xxx)
2014-11-24,"Additional HLR, SMSC and SCP nodes (33689008xxx)"
2014-10-20,Add new SGW and PGW
2014-07-15,Add new SMSC
2014-07-01,"Add new SGSN 33689007106, 33689007107, 33689007108"
2014-06-16,Add new PGW and GGSN
2013-11-08,Add new SGW and PGW
2013-06-10,Add new SGSN 33689007100
2012-10-16,Add new SGSN range 3368900710X
2012-09-19,Update minor information
2012-03-20,Add new MMSC 33689003448
2012-03-20,Add new MMSC range 3368900351X and 3368900352X
2012-01-31,GGSN SW version Update
2012-01-31,Add new MMSC range 33689003446 to 33689003447
