Date,Description
2013-08-21,Add new MSISDN range 33789
2013-06-10,"Number portability, NDC update (For info only, check partner's IR21)"
2012-11-15,Remove MSISDN range 33 6444 to 33 6446 which belongs to Transatel
2012-09-19,"Add new MSISDN range 33785, 3377155 to 3377159"
2012-04-11,Remove Short Code Translation 898
2012-04-11,Add new MSISDN range 336444 to 336446
2011-11-07,Add new MSISDN range 337702
2011-11-07,Add new MSISDN range 3375061 to 3375069
2011-10-05,Number portability and NDC update
2011-10-05,Add SN Range Start and SN Range Stop for all NDC ranges
2011-10-05,Add Additional Information about SMS-IW with Monacell (Monaco)
2011-05-11,"Add new MSISDN range 3364956 to 33664959, 3364992 to 33664993, 337701"
2011-04-02,"Add new MSISDN ranges 33 7872 to 33 7879, 33 7880 to 33 7885"
2010-12-21,"Add new MSISDN ranges 33 649 51 to 33 649 55, 33 6498, 33 7700"
