Date,Description
2018-12-04,Remove node SGSN Ericsson
2018-12-04,Delete old MSC/VLR
2018-07-12,"Remove OLD HLRs
( HLR01,HLR04,HLR06,MTD2HLR,MTD1HLR,CLI1HLR ,HLR02,HLR03,HLR07,,HLR05,HLR08,hlr09,,CLI2HLR ,DAR2HLR )"
2017-11-01,"Modify GT of HLR Cinicas, Munro and Belgrano. New GT : 541151740014,541151740015;541151740016"
2017-10-26,"Add NEW HLR/HSS ( GT=541151000228,541151000229,541151000230,541151000231"
2017-07-21,Delete SGW and PGW ( GG02MU; GG02BE;SSRRO;PGWSSRROS;SGWSSRROS;PGWSSRCBA;SGWSSRCBA
2016-10-12,New Network Node Huawei
2016-10-03,ADD new nodes MME&PGW
2015-12-02,ADD NEW MSC RANGE 5434990400/499 and 5434990500/599
2015-06-17,ADD New SMSC
2015-05-19,MOD. SGSN IP
2015-03-13,SGW & PGW
2015-03-13,ADD Network nodes SGW & PGW
2014-06-11,"ADD NEW NODES SMSC, HLR AND MSC/VLR"
2014-06-02,Node ID CLI1BC & DAR2BC
2014-06-02,New nodes MSC/VLR and HLR
2014-05-14,ADD GT in SGSN
2014-04-22,modify UTC Time
2014-04-22,Updating new SGSN nodes and SMSC
2012-09-25,"New network node Global Titles: MSC/VLR: 5434990245, SGSN: 541151740065, 541151740066, 541151740067,
541151740068, 5434990265, 543490266, 5434990267 and 5434990268"
2012-04-19,"New network node Global Titles: MSC/VLR: RES1MSS 541151740078, MTD1MSS 541151740046, ANA1MSS
541151740045"
2012-04-19,"New network node Global Titles: MSC/VLR: RES1MSS 5434990278, MTD1MSS 5434990246, ANA1MSS 5434990245"
2012-04-19,New network node Global Titles: HLR: CLI1HLR 541151740047
