TADIG Code,Section ID,Section,Date,Description
ARGVO,16,Packet Data Service Information,2020-08-05,Add APN mnc368.mcc722.3gppnetwork.org for M2M ARGVO
ARGVO,20,LTE Roaming Information,2020-08-05,Add Real EPC for ARGVO
ARGVO,24,MVNO Information,2020-05-12,Change to IP Range MVNO ( M2M)
ARGVO,24,MVNO Information,2020-04-23,NEW IP Backbone M2M
ARGTP,13,Network Elements Information,2020-04-02,"New Elemen Network
(5434990140;5434990141;5434990147;541151740047;543499014"
ARGVO,16,Packet Data Service Information,2020-04-02,Add APN: Wing.personal.com
ARGVO,16,Packet Data Service Information,2020-04-02,APN
ARGVO,23,M2M Roaming Information,2020-04-02,APN IoT (wing.personal.com)
ARGVO,24,MVNO Information,2020-04-02,New IP Backbone IoT
ARGTP,9,Test Numbers Information,2020-04-01,New AAC test NUMBER
ARGVO,24,MVNO Information,2020-04-01,GRX provider IoT
ARGTP,9,Test Numbers Information,2020-03-20,Change AAC TEST NUMBER
ARGTP,4,Routing Information,2019-12-23,remove MSISDN range 54114091000 to 541140999999
ARGTP,13,Network Elements Information,2019-10-04,"New PGW nodes ( PGW1CLI, PGW2CLI,PGW2MUN)"
ARGTP,13,Network Elements Information,2019-10-04,new IP PGW2Munb
ARGTP,21,Contact Information,2019-10-04,Change IREG contacts
ARGTP,13,Network Elements Information,2019-06-21,new VLR/MSC node ( GT 5434990200&&5434990214)
ARGTP,21,Contact Information,2019-03-28,Modify IREG coordinator
ARGTP,21,Contact Information,2019-03-28,add IREG test
ARGVO,21,Contact Information,2019-03-28,change Roaming coordinator
ARGTP,16,Packet Data Service Information,2019-03-20,remove APN mnc341.mcc722.gprs
ARGTP,16,Packet Data Service Information,2019-03-20,add Type of APN
ARGTP,21,Contact Information,2019-03-20,contact IREG
ARGVO,16,Packet Data Service Information,2019-03-20,APN Type
ARGTP,21,Contact Information,2019-02-27,new mails
ARGTP,13,Network Elements Information,2018-12-04,Remove node SGSN Ericsson
ARGTP,13,Network Elements Information,2018-12-04,Delete old MSC/VLR
ARGTP,13,Network Elements Information,2018-07-12,"Remove OLD HLRs
( HLR01,HLR04,HLR06,MTD2HLR,MTD1HLR,CLI1HLR ,HLR02,H"
ARGTP,20,LTE Roaming Information,2017-11-12,"ADD BICS DRA (dra01ashb.dra.bics.3gppnetwork.org
IP pri:94.102.166.168:IP sec:94.102.166.184/
dra01nyk.dra.bics.3gppnetwork.org IP pri:94.102.166.199 IP sec:
94.102.166.215)"
ARGTP,20,LTE Roaming Information,2017-11-12,FQDN BICS
ARGTP,13,Network Elements Information,2017-11-01,"Modify GT of HLR Cinicas, Munro and Belgrano. New GT :
541151740014,541151740015;541151740016"
ARGTP,17,IP Roaming/Networking Information,2017-11-01,Add GRX Provider BICS ( backup)
ARGTP,20,LTE Roaming Information,2017-11-01,NEW IPX Provider BICS ( backup)
ARGTP,13,Network Elements Information,2017-10-26,"Add NEW HLR/HSS
( GT=541151000228,541151000229,541151000230,54115100023"
ARGVO,5,International SCCP Gateway,2017-10-23,"ARGVO: new SCCP Carriers ( COMFONE primary and BICS
Backup)"
ARGVO,17,IP Roaming/Networking Information,2017-10-23,"Delete old DNS and put a new DNS1MUN, DNS1CLI, DNS1BEL"
ARGVO,21,Contact Information,2017-10-23,add contact 7x24
ARGVO,21,Contact Information,2017-10-23,new SCCP inquiry NOC@ comfone.com
ARGVO,21,Contact Information,2017-10-23,add Noc Comfone
ARGTP,4,Routing Information,2017-10-20,"add MSRN 29544820,29544821,29544822"
ARGTP,5,International SCCP Gateway,2017-10-20,ADD NEW SCCP CARRIER Backup - BICS Belgacom
