Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
MMSC,MMSC01,54 34990103,,,Ericsson,,-03:00
SCP,SCP01,54 1151740073,,,Ericsson,,-03:00
SCP,SCP02,54 1151740074,,,Ericsson,,-03:00
SCP,VPN,54 34990000,,,Ericsson,,-03:00
SMSC,,54 1151740011,,,,,-03:00
SMSC,,54 1151740048,,,,,-03:00
SMSC,,54 1151740050,,,,,-03:00
SMSC,,54 1151740051,,,,,-03:00
SMSC,,54 1151740055,,,,,-03:00
SMSC,,54 1151740056,,,,,-03:00
SMSC,,54 34990015,,,,,-03:00
SMSC,,54 34990016,,,,,-03:00
SMSC,,54 34990017,,,,,-03:00
SMSC,,54 34990018,,,,,-03:00
SMSC,,54 34990048,,,,,-03:00
SMSC,,54 34990070,,,,,-03:00
SMSC,,54 34990071,,,,,-03:00
SMSC,,54 34990072,,,,,-03:00
SMSC,,54 34990073,,,,,-03:00
SMSC,,54 34990074,,,,,-03:00
SMSC,,54 34990075,,,,,-03:00
SMSC,,54 34990076,,,,,-03:00
SMSC,,54 34990077,,,,,-03:00
SMSC,,54 34990117,,,,,-03:00
SMSC,,54 34990118,,,,,-03:00
SMSC,,54 34990130,,,,,-03:00
SMSC,,54 34990131,,,,,-03:00
SMSC,,54 34990132,,,,,-03:00
SMSC,,54 34990133,,,,,-03:00
SMSC,,54 34990134,,,,,-03:00
SMSC,,54 34990135,,,,,-03:00
SMSC,,54 34990136,,,,,-03:00
SMSC,,54 34990137,,,,,-03:00
SMSC,,54 34990138,,,,,-03:00
SMSC,,54 34990139,,,,,-03:00
HLR,,54 34990140,,,,,-03:00
HLR,,54 34990141,,,,,-03:00
SMSC,,54 34990142,,,,,-03:00
SMSC,,54 34990143,,,,,-03:00
SMSC,,54 34990144,,,,,-03:00
SMSC,,54 34990145,,,,,-03:00
SMSC,,54 34990150,,,,,-03:00
SMSC,,54 34990151,,,,,-03:00
SMSC,,54 34990154,,,,,-03:00
SMSC,,54 34990155,,,,,-03:00
SMSC,,54 1151740052,,,,,-03:00
SMSC,,54 1151740054,,,,,-03:00
SMSC,RTR1,54 34990072,,,,,-03:00
SMSC,RTR2,54 34990073,,,,,-03:00
SMSC,RTR3,54 34990074,,,,,-03:00
SMSC,RTR4,54 34990075,,,,,-03:00
SMSC,RTR5,54 34990076,,,,,-03:00
SMSC,RTR6,54 34990077,,,,,-03:00
SMSC,RTR7,54 34990078,,,,,-03:00
SMSC,RTR8,54 34990079,,,,,-03:00
SMSC,RTR9,54 34990080,,,,,-03:00
SMSC,CLI-RTR1,54 34990081,,,,,-03:00
SMSC,CLI-RTR2,54 34990082,,,,,-03:00
SMSC,CLI-RTR3,54 34990083,,,,,-03:00
SMSC,CLI-RTR4,54 34990084,,,,,-03:00
SMSC,CLI-RTR5,54 34990085,,,,,-03:00
