TADIG Code,Section ID,Section,Date,Description
ARGTP,4,Routing Information,2012-04-01,Number portability launch
ARGTP,4,Routing Information,2012-02-14,"ROUTING INFORMATION CCITT E164 Number series and
MSRN Number Ranges updates Old NDCs->New NDCs 3783-
>3794, 3722->3624, 3534->3537, 2623->2634, 2627->2604,
3732->3644"
ARGVO,4,Routing Information,2012-02-14,"ROUTING INFORMATION CCITT E164 Number series and
MSRN Number Ranges updates Old NDCs->New NDCs 3783-
>3794, 3722->3624, 3534->3537, 2623->2634, 2627->2604,
3732->3644"
ARGTP,5,International SCCP Gateway,2011-11-24,No changes
ARGTP,8,Subscriber Identity Authentication,2011-06-10,No changes
ARGTP,10,MAP,2011-06-10,No changes
ARGTP,11,MAP Optional Routing,2011-06-10,No changes
ARGTP,12,"MAP Inter Operator SMS
Enhancement",2011-06-10,No changes
ARGTP,14,USSD Information,2011-06-10,No changes
ARGTP,15,CAMEL Information,2011-06-10,No changes
ARGTP,16,Packet Data Service Information,2011-06-10,No changes
ARGTP,17,IP Roaming/Networking Information,2011-06-10,No changes
ARGTP,21,Contact Information,2011-06-10,No changes
ARGVO,8,Subscriber Identity Authentication,2011-06-10,No changes
ARGVO,10,MAP,2011-06-10,No changes
ARGVO,11,MAP Optional Routing,2011-06-10,No changes
ARGVO,12,"MAP Inter Operator SMS
Enhancement",2011-06-10,No changes
ARGVO,13,Network Elements Information,2011-06-10,No changes
ARGVO,14,USSD Information,2011-06-10,No changes
ARGVO,15,CAMEL Information,2011-06-10,No changes
ARGVO,16,Packet Data Service Information,2011-06-10,No changes
ARGVO,17,IP Roaming/Networking Information,2011-06-10,No changes
ARGVO,21,Contact Information,2011-06-10,No changes
