Date,Description
2019-04-03,Updated UTC Time Offset
2019-01-17,updated SGSN IP range
2018-05-04,Added HLR GT 16473840074
2018-04-23,Added two new IPSM node GT's 16473832017 and 14382762017
2017-10-19,"Added new GT's for Enhanced Services 16473842030-38, 2050-52"
2017-01-20,Added new HLR nodes 16473842016-2018
2016-10-28,Added new 7 MSC and 7 SGSN GT Nodes
2016-09-28,Adjusted UTC time to -05:00
2016-09-27,"Addition of HLR EIR GT's 16473840062-0066, 16473840071, 14382760061-0066"
2016-09-12,Added SGSN 16473831004
2016-05-12,"Added 14382760003, removed 16473840001 and 16043480001"
2016-01-15,Addition of new SMSC GT 14382762040
2015-12-04,Removal of no longer active MSC GT's 14382760001 and 14034080001 effective immediately
2015-12-04,Update Software loads
2015-11-11,+19027180001 GT was removed from our network Aug 31
2015-11-04,"Added Four new HLR GT's 16473840059, 0060, 14382760059 and 0060"
2015-08-27,Removed GT 19027180001 no longer in use in Halifax
2015-06-16,"Removed no longer active GT's 16473830001, 16473832002-2003, 16473832005-2008"
2015-02-06,"Added new IPSMGW nodes 16473842012, 14382762012 and 14382762013"
2014-03-12,"Added 6 GT’s for New NSN MSS’S (14382760002, 19027180002, 16473840002, 16473830002, 14034080002, 16043480002)"
2014-01-09,Corrected since our SMSC GT 14382762000 was missing from list
2013-08-13,Added New ESP Roamware GT’s 14382762030-2036 Effective Aug 30th.
2013-06-07,"Added new HLR GT’s 16473840057, 16473840058, 16473840086, 14382760057 & 14382760058. Removed SGSN GT’s
16473831001, 16473831002, 14034081001, 14034081002, 14034081003, 16473841001, 16473841002, 14382761001,
14382761002. Node SW versions updated."
2012-07-17,"Deleted GTs: 420 608 005 621, 420 608 005 622, 420 608 005 623, 420 608 005 624, 420 608 005 678, 420 608 005 679,
420 608 005 694, 420 608 005 695, 420 608 005 696, 420 608 005 697, 420 608 005 629, 420 608 005 640"
2012-07-01,"Added GTs: 420 608 005 640, 420 608 005 634, 420 608 005 635"
