Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
HLR,Front_End,1 902718 0070 / 0075,,,NSN,9.0 SP2,-03:00
HLR,Front_End,1 902718 0080 / 0081,,,NSN,9.0 SP2,-03:00
HLR,Front_End,1 902718 0091 / 0091,,,NSN,9.0 SP2,-03:00
HLR,Back_End,1 647384 0081 / 0086,,,NSN,9.0 SP2,-05:00
HLR,Front_end,1 647384 0050 / 0060,,,NSN,9.0 SP2,-05:00
HLR,Front_End,1 647383 2011 / 2011,,,NSN,9.0 SP2,-05:00
HLR,Front_End,1 438276 0051 / 0060,,,NSN,9.0 SP2,-05:00
SMSC,Router_1,1 902718 2100 / 2102,,,,,-03:00
SMSC,Router_2,1 902718 2111 / 2112,,,,,-03:00
SMSC,Router_Alias,1 902718 2120 / 2124,,,,,-03:00
SMSC,Router_Alias,1 438276 2040 / 2040,,,,,-05:00
Other,Enhanced Service,1 647384 2030 / 2038,,,,,-05:00
Other,Enhanced Service,1 647384 2050 / 2052,,,,,-05:00
Other,IOT,1 647384 2055 / 2056,,,Mobileum,,-05:00
Other,IOT,1 438276 2055 / 2056,,,Mobileum,,-05:00
