TADIG Code,Section ID,Section,Date,Description
CANBM,26,VoLTE Roaming Information Section,2020-01-31,Updating VoLTE information
CANBM,13,Network Elements Information,2019-11-25,Corrected Vendor name
CANBM,17,IP Roaming/Networking Information,2019-11-25,"Added some SGW Subnet Ranges 207.236.238.32/27,
184.151.174.98/32 and 184.151.174.101/32"
CANBM,21,Contact Information,2019-11-25,Updated our other contacts sections
CANBM,13,Network Elements Information,2019-07-11,"Added new HLR nodes to be active Aug 28 (16473840087 and
16473840088)"
CANBM,17,IP Roaming/Networking Information,2019-06-21,"Removal of no longer used IP's from Backbone
184.151.172.96/27; 184.151.173.0/27; 184.151.173.96/27"
CANBM,21,Contact Information,2019-06-21,Updated contact primes
CANBM,21,Contact Information,2019-06-21,Updated Contact info
CANBM,4,Routing Information,2019-05-08,Updated MOCN Routing information
CANBM,13,Network Elements Information,2019-04-03,Updated UTC Time Offset
CANBM,4,Routing Information,2019-03-13,Updated E.164 number ranges for number portability
CANMM,17,IP Roaming/Networking Information,2019-03-06,added PGW IP 184.151.229.128/27
CANMM,20,LTE Roaming Information,2019-03-05,Updating with additional EPC Realm of our core network 302610
CANMM,20,LTE Roaming Information,2019-02-22,"Enabled Diameter for Roaming Interconnection and updated
FQDN MNC690.mcc.3gppnetwork.org"
CANBM,20,LTE Roaming Information,2019-01-21,Modifiied LTE EPC realm info
CANBM,20,LTE Roaming Information,2019-01-21,Modified LTE EPC Realm
CANMM,4,Routing Information,2019-01-21,"Added new MSISDN ranges 1367, 1672, 1825"
CANBM,4,Routing Information,2019-01-17,"Added new MSISDN ranges 1 367, 1 672, 1 825"
CANBM,13,Network Elements Information,2019-01-17,updated SGSN IP range
CANBM,16,Packet Data Service Information,2019-01-17,Updated APN with H-APN status
CANBM,17,IP Roaming/Networking Information,2019-01-17,added IP 131.166.145.0/24
CANMM,16,Packet Data Service Information,2018-08-22,Corrected APN to show Home Routed
CANMM,17,IP Roaming/Networking Information,2018-08-22,"Added IP Ranges 207.236.223.16/29, 184.151.126.48/29 and
184.151.126.248/29"
CANMM,20,LTE Roaming Information,2018-08-22,added 302690 EPC
CANBM,13,Network Elements Information,2018-05-04,Added HLR GT 16473840074
CANBM,13,Network Elements Information,2018-04-23,Added two new IPSM node GT's 16473832017 and 14382762017
CANBM,17,IP Roaming/Networking Information,2018-04-23,"Addition of new IP backbone ranges Effective May 1st.
(184.151.229.128/27, 184.151.228.0/25, 184.151.228.128/25)"
CANBM,17,IP Roaming/Networking Information,2018-04-23,"Corrected the IP backbone list as a discrepancy with
184.151.174.0/27"
CANMM,4,Routing Information,2018-01-29,Updated MSISDN Number Ranges available
CANMM,13,Network Elements Information,2018-01-29,"Added GT's for IOT purposes 14382762055-56 and
16473842055-56"
CANBM,21,Contact Information,2017-11-09,Corrected Work schedule
CANBM,21,Contact Information,2017-11-09,Corrected Contact info and Work day time
CANMM,21,Contact Information,2017-11-09,Corrected the 24/7 section
CANBM,4,Routing Information,2017-10-31,"Did correction to NDC for 1-548 previously entered in error as
1-584"
CANBM,13,Network Elements Information,2017-10-19,"Added new GT's for Enhanced Services 16473842030-38,
2050-52"
CANMM,13,Network Elements Information,2017-10-19,Added new GT's
CANBM,17,IP Roaming/Networking Information,2017-10-17,Added 184.151.174.0/27 and 184.151.174.32.27
CANBM,21,Contact Information,2017-10-17,Updated Team info
CANMM,17,IP Roaming/Networking Information,2017-10-17,Added IP 184.151.174.0/27
CANMM,21,Contact Information,2017-10-17,Updated Contact info
CANBM,4,Routing Information,2017-09-25,Added 1 584 to MSISDN Range Table
