E. 164 Number Ranges due to Number Portability,CC,NDC,SN Range Start,SN Range Stop
,1,204,0000,
,1,226,0000,
,1,236,0000,
,1,249,0000,
,1,250,0000,
,1,289,0000,
,1,306,0000,
,1,343,0000,
,1,365,0000,
,1,367,0000,
,1,403,0000,
,1,416,0000,
,1,418,0000,
,1,431,0000,
,1,437,0000,
,1,438,0000,
,1,450,0000,
,1,506,0000,
,1,514,0000,
,1,519,0000,
,1,548,0000,
,1,579,0000,
,1,581,0000,
,1,587,0000,
,1,604,0000,
,1,613,0000,
,1,639,0000,
,1,647,0000,
,1,672,0000,
,1,705,0000,
,1,709,0000,
,1,778,0000,
,Page 11 of 53,,,
