TADIG code:,CANMM
Network name:,Bell Mobility Canada
Network type:,Terrestrial
Technology:,Frequency list:
2G-GSM frequencies:,Unsupported
3G-UTRA/FDD frequencies:,"2 - PCS 1900, 4 - AWS, 5 - 850 MHz"
3G-UTRA/TDD frequencies:,Unsupported
4G-E-UTRAN frequencies:,"2 - PCS 1900, 5 - 850 MHz, 4 - AWS"
4G-E-UTRAN-MIoT-LTE-M frequencies:,Unsupported
4G-E-UTRAN-MIoT-NB-IoT frequencies:,Unsupported
MIoT-NB-IoT deployment modes:,Unsupported
Presentation of country initials and MNN:,CAN BM
Abbreviated MNN:,CANBM
