TADIG code:,CANBM
Network name:,Bell Mobility Canada
Network type:,Terrestrial
Technology:,Frequency list:
2G-GSM frequencies:,"PCS 1900, GSM 850"
3G-UTRA/FDD frequencies:,"4 - AWS, 2 - PCS 1900, 5 - 850 MHz, 7 - 2.6 GHz, 13 - 700 MHz Upper"
3G-UTRA/TDD frequencies:,Unsupported
4G-E-UTRAN frequencies:,Unsupported
4G-E-UTRAN-MIoT-LTE-M frequencies:,Unsupported
4G-E-UTRAN-MIoT-NB-IoT frequencies:,Unsupported
MIoT-NB-IoT deployment modes:,Unsupported
Presentation of country initials and MNN:,CANBM
Abbreviated MNN:,CANBM
