Date,Description
2022-03-16,ADDED NEW IP 74.118.66.64/26 TELNA
2021-06-16,DELETED IP BACKBONE 200.95.168.0/26 AND 200.95.168.64/26
2021-05-21,ADDED IP BACKBONE 200.95.163.0/26
2020-10-16,ADDED NEW IP BACKBONE
2019-03-26,ADDED IP BACKBONE 200.95.160.232/29 AND 200.95.162.160/28
2019-02-15,ADDED IP BACKBONE 200.95.160.160/27 AND 200.95.160.128/27
2018-11-27,ADD BACKUP GRX PROVIDER (iBasis)
2018-11-14,"ADD IP BACKBONE 200.95.160.8/29, 200.95.160.48/28, 200.95.160.64/27, 200.95.160.96/27"
2018-09-11,UPDATE INTER-PLMN BACKBONE IP RANGES
2018-09-11,UPDATE INTER-PLMN BACKBONE IP RANGES
2018-01-22,Changed Local Caching DNS IP
2017-12-21,Added new IP BackBone Address
2017-10-13,Added DNS Name for 4G
2017-03-06,"Replacement of IP Backbone Address ranges: 200.68.140.240/30, 200.68.141.244/30 and 200.95.160.224/29"
2017-03-06,deleted IP 200.68.141.247/32
2017-02-14,ADDED INTER-PLMN BACKBONE IP RANGES
2016-10-17,IP backbone 200.95.160.48/28 REMOVED
2016-08-02,"Deleted DNS MORDG2 200.79.17.19, effective from 08/08/2016"
2016-05-23,"Add new DNS IP 200.68.144.252 and change name of DNS R7FTEDG1, add new IP backbone 200.68.144.240/28, and
deleted IP Backbone 200.68.144.248/29, effective date change 23/05/2016"
2016-04-08,Corrected: inter - PMN IP backbone IP address range 200.68.144.248/29 instead of 200.68.144.252/32
2016-04-08,New inter - PMN IP backbone IP address range 200.68.144.252/32
2014-07-10,ADD ASN 64622 & 64900
2012-12-05,Deleted IP address range 200.95.160.64/28
