Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
HLR,GAEHL1,52 94100049070,,,ERICSSON,,-06:00
HLR,YAEHL1,52 94100049080,,,ERICSSON,,-06:00
HLR,RVEHLA,52 94100013030,,,ERICSSON,,-06:00
HLR,MYEHLA,52 94100015140,,,ERICSSON,,-06:00
HLR,RVEHL1,52 94100013040,,,ERICSSON,,-06:00
HLR,MYEHL1,52 94100015150,,,ERICSSON,,-06:00
HLR,COEHL1,52 94100033140,,,ERICSSON,,-06:00
HLR,OREHL1,52 94100033150,,,ERICSSON,,-06:00
HLR,NEEHL1,52 94100004060,,,ERICSSON,,-06:00
HLR,SJEHL1,52 94100004070,,,ERICSSON,,-06:00
HLR,FRHHL1,52 94100020490,,,HUAWEI,,-06:00
HLR,TLHHL1,52 94100021450,,,HUAWEI,,-06:00
HLR,CBHHL1,52 94100030460,,,HUAWEI,,-06:00
HLR,FTHHL1,52 94100059040,,,HUAWEI,,-06:00
HLR,YXHHL1,52 94100140050,,,HUAWEI,,-06:00
HLR,CSHHL1,52 94100077060,,,HUAWEI,,-06:00
HSS,AREHS1,52 94100044070,,,ERICSSON,,-06:00
HSS,LOEHS1,52 94100044080,,,ERICSSON,,-06:00
HSS,GAEHS1,52 94100049090,,,ERICSSON,,-06:00
HSS,YAEHS1,52 94100049100,,,ERICSSON,,-06:00
HSS,RVEHSA,52 94100013050,,,ERICSSON,,-06:00
HSS,MYEHSA,52 94100015160,,,ERICSSON,,-06:00
HSS,RVEHS1,52 94100013060,,,ERICSSON,,-06:00
HSS,MYEHS1,52 94100015170,,,ERICSSON,,-06:00
HSS,COEHS1,52 94100033160,,,ERICSSON,,-06:00
HSS,OREHS1,52 94100033170,,,ERICSSON,,-06:00
HSS,NEEHS1,52 94100004080,,,ERICSSON,,-06:00
HSS,SJEHS1,52 94100004090,,,ERICSSON,,-06:00
MME,R8CAS1VMME,52 94100077740,200.95.163.32,,HUAWEI,,-06:00
MME,R8CAS1VMME,52 94100077740,200.95.163.33,,HUAWEI,,-06:00
MSC,TUXBC1,52 94100094980,,,,,-06:00
MSC,PACBC1,52 94100056980,,,,,-06:00
MSC,CUEBC1,52 94100000980,,,,,-06:00
PGW,LOMSG4,52 94100044790,200.95.162.65,,ERICSSON,,-06:00
SGW,LOMSG4,52 94100044790,200.95.162.85,,ERICCSON,,-06:00
SGW,LOMSG4,52 94100044790,10.58.192.1,,ERICSSON,,-06:00
PGW,ARBSG1,52 94100055260,200.95.162.67,,ERICSSON,,-06:00
SGW,ARBSG1,52 94100055260,200.95.162.87,,ERICSSON,,-06:00
SGW,ARBSG1,52 94100055260,10.58.192.2,,ERICCSON,,-06:00
PGW,GARSG3,52 94100112440,200.95.162.69,,ERICSSON,,-06:00
SGW,GARSG3,52 94100112440,200.95.162.89,,ERICSSON,,-06:00
SGW,GARSG3,52 94100112440,10.58.192.3,,ERICSSON,,-06:00
PGW,YAÑSG1,52 94100112500,200.95.162.71,,ERICSSON,,-06:00
SGW,YAÑSG1,52 94100112500,200.95.162.91,,ERICSSON,,-06:00
SGW,YAÑSG1,52 94100112500,10.58.192.4,,ERICSSON,,-06:00
PGW,REVMM1,52 94100118010,200.95.162.73,,ERICSSON,,-06:00
SGW,REVMM1,52 94100118010,200.95.162.93,,ERICSSON,,-06:00
SGW,REVMM1,52 94100118010,10.58.192.5,,ERICSSON,,-06:00
PGW,MYMM1,52 94100118050,200.95.162.75,,ERICSSON,,-06:00
SGW,MYMM1,52 94100118050,200.95.162.95,,ERICSSON,,-06:00
SGW,MYMM1,52 94100118050,10.58.192.6,,ERICSSON,,-06:00
PGW,OBRMM1,52 94100125930,200.95.162.77,,ERICSSON,,-06:00
SGW,OBRMM1,52 94100125930,200.95.162.97,,ERICSSON,,-06:00
SGW,OBRMM1,52 94100125930,10.58.192.7,,ERICSSON,,-06:00
PGW,CORMM1,52 94100126740,200.95.162.79,,ERICSSON,,-06:00
SGW,CORMM1,52 94100126740,200.95.162.99,,ERICSSON,,-06:00
SGW,CORMM1,52 94100126740,10.58.192.8,,ERICSSON,,-06:00
PGW,NEXSG2,52 94100136500,200.95.162.81,,ERICSSON,,-06:00
SGW,NEXSG2,52 94100136500,200.95.162.101,,ERICSSON,,-06:00
SGW,NEXSG2,52 94100136500,10.58.192.9,,ERICSSON,,-06:00
PGW,SAJSG1,52 94100136900,200.95.162.83,,ERICSSON,,-06:00
SGW,SAJSG1,52 94100136900,200.95.162.103,,ERICSSON,,-06:00
SGW,SAJSG1,52 94100136900,10.58.192.10,,ERICSSON,,-06:00
SGW,FRHSG1,52 94100020450,200.95.164.152,,HUAWEI,,-06:00
SGW,FRHSG1,52 94100020450,200.95.164.153,,HUAWEI,,-06:00
