Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
MSC/VLR,VERGS1,52 94100031110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,VERSW1,52 94100031120,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,VERSW2,52 94100031130,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,VERBC1,52 94100031980,,,Ericsson,,-06:00
MSC/VLR,LEOBC1,52 94100033980,,,ERICSSON,,-06:00
MSC/VLR,QUEGS2,52 94100034110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,SLPGS1,52 94100035110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,SLPBC1,52 94100035980,,,ERICSSON,,-06:00
MSC/VLR,CHISW1,52 94100037110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,TORGS1,52 94100040120,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,TORBC1,52 94100040980,,,ERICCSON,,-06:00
MSC/VLR,LAPSW1,52 94100042120,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,TIJGS1,52 94100044110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,TIJBC1,52 94100044980,,,Ericsson,,-06:00
MSC/VLR,MERGS2,52 94100046110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,MERBC1,52 94100046980,,,ERICSSON,,-06:00
MSC/VLR,TUXBC2,52 94100048980,,,ERICSSON,,-06:00
MSC/VLR,CULGS1,52 94100049110,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,CULSW1,52 94100049120,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,CULSW2,52 94100049130,,,Ericsson,"HW MSC
336&448&560,
SW R9.1
and MSC 6,
SW:R10",-06:00
MSC/VLR,CULBC1,52 94100049980,,,Ericsson,,-06:00
