Date,Description
2017-03-23,ADDED MSC/VLR NETWORK NODES TECGL1-5
2017-03-23,DELETED SGSN AND VLR NODES MTYGL1 AND HERGL1
2017-03-23,ADDED SGSN NODES TECGL1-5
2017-03-06,Added new MME nodes R9POR1VMME and R9CAR1VMME
2017-02-22,Update GT 5294100007980 of MSC/VLR node PACBC1
2017-02-14,DELETED MSC/VLR NODES PVRSW1 AND CUESW1
2017-02-08,"Added GGSN/S-PGW Nodes R4MAY3GSP, R4REV3GSP, R5FRE2GSP and R5TLA2GSP"
2017-02-08,Deleted MTYSW2 and MTYSW3 MSC/VLR nodes
2017-01-24,DELETED MSC/VLR NODE MLISW1
2017-01-11,DELETED SGSN NODES BONSG1 AND MONSG3
2016-11-23,ADDED MSC/VLR NODE TEPBC1
2016-10-17,ADDED MSC/VLR NODES CUEBC1 AND MLIBC1
2016-09-28,"ADDED S-PGW FREGSP AND MSC/VLR NLABC1, DELETED MSC/VLR JUASW1 AND GDLSW5"
2016-08-17,NEW SGSN -MME NODES
2016-08-17,ADDED MME-SGSN NODES
2016-08-02,ADDED SGW AND PGW NODES
2016-08-02,DELETED NODE MSC/VLR GDLSW6
2016-07-01,ADDED MSC/VLR NODE JUABC1
2016-03-15,DELETED MME NETWORK NODES (POPMM1 AND CARMM1)
2016-03-07,"DELETED NODES MSC/VLR GDLSW2 AND HSS MEXHS1, MEXHS2"
2016-02-10,ADDED NEW HLR NETWORK NODES
2015-11-23,ADDED IP PGW IPS 201.134.179.82/32 AND 201.134.179.83/32
2015-10-20,"NEW SGW AND PGW NODES (R9POR1GSP, Nextengo2, Vallejo2, NEXGP3 and VALGP3"
2015-07-27,"Added SMSC nodes: 5294100136040, 5294100135990, 5294100136000"
2015-07-15,DELETED MSC NODES: MEXSW1 AND MEXSW2
2015-04-09,"DELETED MSC/VLR NODES MEXGS7, MEXGS8, OAXSW1, MEXSWX AND MEXSWC"
2015-03-24,NEW MME AND SGSN NODES ADDED
2015-03-24,NEW MME AND SGSN NODES ADDED
2015-03-19,ADDED SMSC NODES: CUANP3 AND MRSNP3
2015-03-10,ADDED AND DELETED SGSN AND MSC/VLR NETWORK NODES
2015-02-04,ADDED SMSC NODES: ITHUS1 AND POPUS1
2015-01-30,SMSC NODE ADDED AND MSC/VLR NODES DELETED
2014-11-25,ADDED AND DELETED MSC/VLR NODES
2014-09-23,ADDED AND DELETED MSC/VLR AND SGSN NODES
2014-08-20,ADDED MME AND SGSN IPs
2014-07-25,ADDED MME AND SGSN IPs
2014-06-11,ADDED MME AND SGW IPs
2014-05-28,"DELETED MSC NODES GDLSW3, QUESW1, QUESW2. CHANGE GT NDC FOR BONSG1"
2014-04-21,DELETED MSC/VLR NODE (TOLSW2)
2014-04-08,DELETED MSC/VLR NODES
2014-03-12,ADDED AND DELETED MSC/VLR AND SGSN NODES
2014-02-27,NEW SGW NODES ADDED
2013-12-27,"MSC/VLR NETWORK NODES DELETED (PUESW1, TUXBC1)"
2013-11-26,NEW MME NODES ADDED (FTEMME1 AND LPPMME1)
