Date,Description
2021-03-08,ADDED NEW MSISDN NUMBER RANGES
2021-02-03,ADDED AND DELETED MSISDN AND MSRN NUMBER RANGES
2020-12-11,ADDED NEW MRSN NUMBER RANGES
2020-11-06,ADDED AND DELETED MSISDN NUMBER RANGES
2020-10-16,ADDED NEW MSISDN NUMER RANGES
2020-10-12,ADDED NEW MSISDN AND MSRN NUMBER RANGES
2020-08-14,ADDED AND DELETED MSISDN NUMBER RANGES
2020-07-01,ADDED AND DELETED NEW MSISDN NUMBER RANGES
2020-04-27,UPDATED MSISDN NUMBER RANGES
2020-02-13,ADDED NEW MSISDN NUMBER RANGES
2020-02-12,ADDED AND DELETED MSISDN AND MSNR NUMBER RANGE
2020-02-12,ADDED AND DELETED MSISDN AND MSRN NUMBER RANGE
2019-11-14,ADDED AND DELETED NEW MSRN NUMBER RANGES
2019-10-17,ADDED AND DELETED MSISDN NUMBER RANGES
2019-07-30,ADDED AND DELETED MSISDN AND MSRN RANGES
2019-05-24,NOTIFICATION ABOUT 10 DIGIT MIGRATION IN MEXICO
2019-05-21,UPDATE MSISDN NUMBER RANGES
2019-03-26,ADDED AND DELETED MSISDN AND MSRN NUMBER RANGES
2019-02-15,ADDED AND DELETED MSISDN NUMBER RANGES
2018-12-14,ADDED AND DELETED MSISDN NUMBER RANGES
2018-11-13,ADDED AND DELETED MSRN NUMBER RANGES
2018-11-12,ADDED AND DELETED MSISDN NUMBER RANGES
2018-10-12,ADDED AND DELETED MSISDN AND MSRN NUMBERRANGES
2018-09-11,ADDED AND DELETED MSISDN NUMBER RANGES
2018-08-24,ADDED AND DELETED MSISDN AND MSRN NUMBERRANGES
2018-07-20,ADDED AND DELETED MSISDN AND MSRN NUMBER RANGES
2018-07-20,ADDED AND DELETES MSRN NUMBER RANGES
2018-06-12,Added and deleted MSISDN ranges.
2018-05-18,ADDED AND DELETED MSISDN NUMBERS
2018-04-12,ADDED NEW MSRN RANGES
2018-04-12,ADDED MSRN RANGES
2018-04-06,ADDED AND DELETED MSISDN AND MSRN NUMBERS
2018-04-06,ADDED AND DELETED MSISDN NUMBERS
2018-03-21,MSISDN RANGES CORRECTED
2018-03-21,MSISDN RANGES CORRECTED
2018-03-17,ADDED AND DELETED MSISDN NUMBERS
2018-03-17,ADDED AND DELETED MSRN NUMBERS
2018-02-22,Added and deleted MSISDN number ranges
2018-02-22,Added and deleted MSRN number ranges
2018-01-22,ADDED AND DELETED MSISDN RANGES
2018-01-18,ADDED AND DELETED MSRN RANGES
2018-01-18,ADDED AND DELETED MSISDN RANGES
2017-11-29,Added and deleted MSISDN number ranges
2017-10-12,Add and deleted MSISDN number ranges
2017-09-06,Added and deleted MSISDN number ranges
2017-08-02,Added and deleted MSISDN number ranges
2017-08-02,Added and deleted MSISDN ranges
