Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
PGW,R8YAXRHWNFVCGW01,,200.95.165.66,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.80,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.81,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.82,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.83,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.84,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.85,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.86,,,,-06:00
SGW,R8YAXRHWNFVDGW01,,200.95.165.87,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.72,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.73,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.74,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.75,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.76,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.77,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.78,,,,-06:00
PGW,R8YAXRHWNFVDGW01,,200.95.165.79,,,,-06:00
MME,R8CASRHWNFVUSN01,,200.95.165.24,,,,-06:00
MME,R8CASRHWNFVUSN01,,200.95.165.25,,,,-06:00
SGW,R8CASRHWNFVCGW01,,200.95.165.3,,,,-06:00
PGW,R8CASRHWNFVCGW01,,200.95.165.2,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.16,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.17,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.18,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.19,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.20,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.21,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.22,,,,-06:00
SGW,R8CASRHWNFVDGW01,,200.95.165.23,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.8,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.9,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.10,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.11,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.12,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.13,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.14,,,,-06:00
PGW,R8CASRHWNFVDGW01,,200.95.165.15,,,,-06:00
SGSN,R5FRERHWNFVUSN01,,200.95.164.152,,,,-06:00
SGSN,R5FRERHWNFVUSN01,,200.95.164.153,,,,-06:00
SGSN,R5TLARHWNFVUSN01,,200.95.164.216,,,,-06:00
SGSN,R5TLARHWNFVUSN01,,200.95.164.217,,,,-06:00
SGSN,R7CTPRHWNFVUSN01,,200.95.168.24,,,,-06:00
SGSN,R7CTPRHWNFVUSN01,,200.95.168.25,,,,-06:00
SGSN,R7FTERHWNFVUSN01,,200.95.168.88,,,,-06:00
SGSN,R7FTERHWNFVUSN01,,200.95.168.89,,,,-06:00
SGSN,R8YAXRHWNFVUSN01,,200.95.165.88,,,,-06:00
SGSN,R8YAXRHWNFVUSN01,,200.95.165.89,,,,-06:00
SGSN,R8CASRHWNFVUSN01,,200.95.165.24,,,,-06:00
SGSN,R8CASRHWNFVUSN01,,200.95.165.25,,,,-06:00
PGW,R1ARB1VGSP,,200.95.162.65,,,,-06:00
PGW,R1LOM2VGSP,,200.95.162.67,,,,-06:00
PGW,R2GAR2VGSP,,200.95.162.69,,,,-06:00
PGW,R3YAN1VGSP,,200.95.162.71,,,,-06:00
PGW,R4REV2VGSP,,200.95.162.73,,,,-06:00
PGW,R4MAY2VGP,,200.95.162.75,,,,-06:00
PGW,R6COR!VGSP,,200.95.162.77,,,,-06:00
PGW,R6OBR1VGSP,,200.95.162.79,,,,-06:00
PGW,R9NEX2VGSP,,200.95.162.81,,,,-06:00
SGW,R9SJN!VGSP,,200.95.162.83,,,,-06:00
SGW,R1ARB1VGSP,,200.95.162.85,,,,-06:00
SGW,R1LOM2VGSP,,200.95.162.87,,,,-06:00
SGW,R2GAR2VGSP,,200.95.162.89,,,,-06:00
SGW,R3YAN1VGSP,,200.95.162.91,,,,-06:00
SGW,R4REV2VGSP,,200.95.162.93,,,,-06:00
SGW,R4MAY2VGP,,200.95.162.95,,,,-06:00
