Date,Description
2022-05-16,ADDED NEW SGW NODES
2022-03-16,ADDED NEW TELNA NODES
2021-04-28,ADDED NEW NETWORK ELEMENT NODES
2021-04-07,ADDED NEW ELEMENT NETWORK NODES
2021-03-31,ADDED NEW NETWORK ELEMENTS NODES
2021-02-11,ADDED NEW MME NODES
2020-11-06,ADDED NEW HSS AND HLR NODES
2020-10-12,"ADDED NEW SGSN, MME, PGW AND SPW NODES"
2020-08-28,"ADDED NEW HSS, HLR, GGSN ANS SGW NODES"
2020-07-02,ADD NEW SGSN NODES
2020-05-24,ADD NEW HSS NODES
2020-02-12,ADDED NEW GGSN AND PGW NODES
2019-11-14,ADDED NEW GGSN AND S-PGW NODES
2019-06-17,ADDED NEW GGSN AND PGW NODES
2019-06-17,ADDED NEW GGSN AND PGW NODES
2019-05-24,ADDED NEW SPGW NODES
2019-02-15,ADDED NEW GGSN RANGES
2018-09-11,ADDED NEW GGSN AND PGW RANGES
2018-08-24,"ADDED NEW GGSN, PGW AND SGW RANGES"
2018-08-24,UPDATE SGSN NODES
2018-07-20,"ADDED NEW GGSN, PGW AND SGW RANGES"
2018-01-18,ADDED MME-SGSN NODES
2017-11-29,"Added PGW (NEX1VP, VAL1VP) and SCP ITH1OCS"
2017-09-06,Added HLR Node 52941000067000
2017-03-29,TECGL nodes are set as ranges
