"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,735,397,397,,,,
,52,735,416,417,,,,
,52,735,427,427,,,,
,52,735,494,494,,,,
,52,735,542,542,,,,
,52,736,100,100,,,,
,52,736,103,106,,,,
,52,736,108,109,,,,
,52,736,111,113,,,,
,52,736,115,119,,,,
,52,736,122,122,,,,
,52,736,126,126,,,,
,52,738,105,105,,,,
,52,738,108,109,,,,
,52,741,100,100,,,,
,52,741,104,105,,,,
,52,741,107,107,,,,
,52,741,109,138,,,,
,52,741,141,141,,,,
,52,741,144,146,,,,
,52,741,149,151,,,,
,52,741,411,411,,,,
,52,742,100,100,,,,
,52,742,102,103,,,,
,52,742,105,107,,,,
,52,742,109,117,,,,
,52,742,119,123,,,,
,52,742,125,125,,,,
,52,742,129,129,,,,
,52,742,132,132,,,,
,52,742,424,424,,,,
,52,743,107,107,,,,
,52,743,110,110,,,,
,52,744,102,107,,,,
,52,744,117,118,,,,
,52,744,123,124,,,,
,52,744,128,129,,,,
,52,744,135,136,,,,
,52,744,143,144,,,,
,52,744,157,157,,,,
,52,744,159,160,,,,
,52,744,163,166,,,,
,52,744,170,172,,,,
,52,744,174,178,,,,
,52,744,180,181,,,,
