TADIG Code,Section ID,Section,Date,Description
MEXTL,4,Routing Information,2013-07-10,NEW MSRN RANGE ADDED
MEXTL,21,Contact Information,2013-07-10,IREG TESTS CONTACTS UPDATED
MEXTL,21,Contact Information,2013-07-10,IREG TESTS CONTACTS UPDATED
MEXTL,4,Routing Information,2013-06-18,CORRECTION RANGES
MEXTL,4,Routing Information,2013-05-30,DELETED AND ADDED MSISDN NUMBER RANGES
MEXTL,4,Routing Information,2013-05-18,New MSRN ranges
MEXTL,4,Routing Information,2013-05-17,DELETED AND ADDED MSRN NUMBER RANGES
MEXTL,4,Routing Information,2013-04-26,New MSRN ranges
MEXTL,4,Routing Information,2013-03-06,Added and deleted MSISDN ranges.
MEXTL,4,Routing Information,2013-01-11,New MSRN ranges
MEXTL,17,IP Roaming/Networking Information,2012-12-05,Deleted IP address range 200.95.160.64/28
MEXTL,4,Routing Information,2012-11-07,New MSRN ranges
MEXTL,4,Routing Information,2012-10-08,New MSRN range
MEXTL,21,Contact Information,2012-10-08,Change in contact persons
MEXTL,4,Routing Information,2012-06-29,New MSRN ranges
MEXTL,21,Contact Information,2012-06-28,Change in contact number TS24x7 NOC and Troubleshooting
MEXTL,4,Routing Information,2012-06-12,New MSISDN range
MEXTL,4,Routing Information,2012-04-26,ADDED NOTE OF MSISDN STRUCTURE
MEXTL,21,Contact Information,2012-04-26,Change in contact persons
MEXTL,16,Packet Data Service Information,2011-12-02,New IP address range 200.95.168.0/24
MEXTL,21,Contact Information,2011-11-25,Change in contact persons
MEXTL,21,Contact Information,2011-11-23,Change in contact persons
MEXTL,4,Routing Information,2011-09-29,New MSISDN range GSM
MEXTL,4,Routing Information,2011-07-14,Modification MSISDN ranges GSM
MEXTL,21,Contact Information,2011-07-14,Change in contact persons
MEXTL,5,International SCCP Gateway,2011-04-25,DPC changes
