TADIG Code,Section ID,Section Name
AAMT1,4,Routing Information
AAMT1,7,SCCP Protocol available at PMN for connection for International SS7 Roaming
AAMT1,9,Test Numbers Information
AAMT1,11,MAP Optimal Routing Section
AAMT1,12,MAP Inter Operator SMS Enhancement
AAMT1,13,Network Elements Information
AAMT1,14,USSD Information
AAMT1,15,CAMEL Information
AAMT1,17,IP-Roaming and IP-Interworking Information
AAMT1,18,MMS Interworking Information
AAMT1,19,WLAN Information
AAMT1,20,Roaming in Long Term Evolution
AAMT1,22,Hosted Networks
AAMT1,23,M2M Roaming Information
AAMT1,24,MVNO Information
AAMT1,27,LPWA Roaming Information Section
