Date,Description
2022-06-17,Add 5G-SA APN = kwx25gs.au-net.ne.jp
2021-09-10,Add new TADIG JPNKS (440-54)
2021-07-12,add a new APN
2020-03-31,removed APN=au4g.au-net.ne.jp
2019-12-06,new APN for 5G
2019-09-08,add a new APN
2019-07-18,add APN=unitrg.au-net.ne.jp
2019-05-13,update APN type
2017-09-29,Add APNs
2017-01-13,Add APN = kwx2a.au-net.ne.jp
2016-07-07,Add APN:uniz.au-net.ne.jp
2015-07-10,Add APN univ.au-net.ne.jp
2015-04-24,Add UserName and Password
2015-04-23,Add 3 APN
2014-10-06,Add APN WEB kwx2.au-net.ne.jp
2014-09-04,Add APN WEB tig.au-net.ne.jp
2014-02-04,Addition of APN Operator Identifiers
2013-12-03,Change 2G/3G QoS Profiles
2013-10-18,Add APN WEB in Section 16.
2012-12-28,No changes from previous non-REAX IR.21s.
