Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
HLR,IIF-A,81 8093110000,,,,,+09:00
HLR,IIF-AS,81 8093111000,,,,,+09:00
HLR,IIF-B,81 8093120000,,,,,+09:00
HLR,IIF-BS,81 8093121000,,,,,+09:00
HLR,GSM-HLR-Alias,81 8093150100,,,,,+09:00
HLR,GSM-HLR-Tama1,81 8093150101,,,,,+09:00
HLR,GSM-HLR-Tama2,81 8093150102,,,,,+09:00
HLR,GSM-HLR-Tama3,81 8093150103,,,,,+09:00
HLR,GSM-HLR-Osaka1,81 8093150104,,,,,+09:00
HLR,GSM-HLR-Osaka2,81 8093150105,,,,,+09:00
HLR,GSM-HLR-Osaka3,81 8093150106,,,,,+09:00
HLR,HLRsa-Alias,81 8093151020,,,,,+09:00
HLR,HLRsa-Tama,81 8093151021,,,,,+09:00
HLR,HLRsa-Oyama,81 8093151022,,,,,+09:00
HLR,HLRsa-Osaka,81 8093151023,,,,,+09:00
HLR,HLRsa-Chiyo,81 8093151024,,,,,+09:00
SMSC,SMSC-A,81 8059980000,,,,,+09:00
SMSC,SMSC-AV,81 8059981200,,,,,+09:00
SMSC,SMSC-BV,81 8059981300,,,,,+09:00
SMSC,SMSC-IWS-M,81 8059980102,,,,,+09:00
SMSC,SMSC-IWS-B,81 8059980202,,,,,+09:00
SMSC,SMSC-IWS-Y,81 8059980302,,,,,+09:00
SMSC,SMSC-IWS-Q,81 8059980402,,,,,+09:00
GGSN,GGSN-A,,210.196.1.0/25,,,,+09:00
GGSN,GGSN-B,,210.196.1.128/25,,,,+09:00
GGSN,GGSN-E,,210.142.8.0/21,,,,+09:00
PGW,GGSN-A,,210.196.1.0/25,,,,+09:00
PGW,GGSN-B,,210.196.1.128/25,,,,+09:00
PGW,GGSN-E,,210.142.8.0/21,,,,+09:00
