TADIG Code,Section ID,Section,Date,Description
JPNKD,17,IP Roaming/Networking Information,2018-07-25,Add ULIs
JPNKI,23,M2M Roaming Information,2018-06-18,Add Section 23 (M2M Roaming Information)
JPNKD,16,Packet Data Service Information,2017-09-29,Add APNs
JPNKD,21,Contact Information,2017-09-14,Changed Contact Information
JPNKD,4,Routing Information,2017-01-13,"add 8170761 - 8170769, 8170770"
JPNKD,13,Network Elements Information,2017-01-13,"Add GGSN, PGW"
JPNKD,16,Packet Data Service Information,2017-01-13,Add APN = kwx2a.au-net.ne.jp
JPNKI,4,Routing Information,2017-01-11,"add 8170761 - 8170769, 8170770"
JPNKD,4,Routing Information,2016-07-07,"Add number ranges for MSISDN (NDC:70479, 70740-70760)"
JPNKD,16,Packet Data Service Information,2016-07-07,Add APN:uniz.au-net.ne.jp
JPNKI,4,Routing Information,2016-07-07,"Add number ranges for MSISDN (NDC:70479, 70740-70760)"
JPNKD,4,Routing Information,2016-05-13,"Add number ranges for MSISDN (NDC: , 70474......70478) and
Number Portabillity (NDC: 707)"
JPNKD,5,International SCCP Gateway,2016-05-13,Delete information of KDDI
JPNKI,4,Routing Information,2016-05-13,"Add number ranges for MSISDN (NDC: , 70474......70478) and
Number Portabillity (NDC: 707)"
JPNKD,4,Routing Information,2016-02-25,correct additional information
JPNKI,4,Routing Information,2016-02-25,correct additional information
JPNKD,17,IP Roaming/Networking Information,2016-02-24,ADD IP addresses
JPNKD,4,Routing Information,2015-07-10,"Add number ranges for MSISDN (NDC: , 70242 .....70473) and
Number Portability (NDC: 703, 704)"
JPNKD,9,Test Numbers Information,2015-07-10,Add test number for IW-SMS
JPNKD,16,Packet Data Service Information,2015-07-10,Add APN univ.au-net.ne.jp
JPNKI,4,Routing Information,2015-07-10,"Add number ranges for MSISDN (NDC: , 70242 .....70473) and
Number Portability (NDC: 703, 704)"
JPNKD,16,Packet Data Service Information,2015-04-24,Add UserName and Password
JPNKD,20,LTE Roaming Information,2015-04-24,ADD FQDN
JPNKD,16,Packet Data Service Information,2015-04-23,Add 3 APN
JPNKD,17,IP Roaming/Networking Information,2015-04-23,Add IP adress
JPNKD,21,Contact Information,2015-04-01,Changed the IR21 Distribution Email Address
JPNKD,17,IP Roaming/Networking Information,2015-02-24,Add GRX provider : Syniverse (22870)
JPNKD,16,Packet Data Service Information,2014-10-06,Add APN WEB kwx2.au-net.ne.jp
JPNKD,16,Packet Data Service Information,2014-09-04,Add APN WEB tig.au-net.ne.jp
JPNKD,4,Routing Information,2014-06-16,"Added NDC 705 and 706 in Number Portability range. Added
MNP information in 3. Interworking SMS Routing Requirements of
Additional Information."
JPNKD,21,Contact Information,2014-06-16,Changed Contact Information
JPNKI,4,Routing Information,2014-06-16,"Added NDC 705 and 706 in Number Portability range. Added
MNP infomation in 3. Interworking SMS Routing Requirements of
Additional Information."
JPNKD,4,Routing Information,2014-02-06,Addition of a set of MNC(51) and NC(80984)
JPNKI,4,Routing Information,2014-02-06,Addition of a set of MNC(51) and NC(80984)
JPNKD,16,Packet Data Service Information,2014-02-04,Addition of APN Operator Identifiers
JPNKD,20,LTE Roaming Information,2014-02-04,"Addition of a S6a hostname
(epc.mnc051.mcc440.3gppnetwork.org)"
JPNKD,13,Network Elements Information,2013-12-03,Add PGW
JPNKD,16,Packet Data Service Information,2013-12-03,Change 2G/3G QoS Profiles
JPNKD,17,IP Roaming/Networking Information,2013-12-03,Add IP ranges
JPNKD,20,LTE Roaming Information,2013-12-03,Change LTE QoS profile list
JPNKD,5,International SCCP Gateway,2013-10-18,No meaningful changes from the previous IR.21.
JPNKD,16,Packet Data Service Information,2013-10-18,Add APN WEB in Section 16.
