"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,81,90964,00000,99999,,,,
,81,90966,00000,99999,,,,
,81,90967,00000,99999,,,,
,81,9097,000000,999999,,,,
,81,805,0000000,9999999,,,,
,81,806,0000000,9999999,,,,
,81,8090,000000,999999,,,,
,81,8093,000000,999999,,,,
,81,8098,000000,999999,,,,
,81,7020,000000,999999,,,,
,81,7021,000000,999999,,,,
,81,7022,000000,999999,,,,
,81,7023,000000,999999,,,,
,81,7024,000000,999999,,,,
,81,7035,000000,999999,,,,
,81,7036,000000,999999,,,,
,81,7037,000000,999999,,,,
,81,7038,000000,999999,,,,
,81,7045,000000,999999,,,,
,81,7046,000000,999999,,,,
,81,7047,000000,999999,,,,
,81,7059,000000,999999,,,,
,81,7074,000000,999999,,,,
,81,7075,000000,999999,,,,
,81,7076,000000,999999,,,,
,81,7077,000000,999999,,,,
,81,7086,000000,999999,,,,
,81,7087,000000,999999,,,,
,81,7088,000000,999999,,,,
