TADIG Code,Section ID,Section Name
JPNKS,5,International SCCP Gateway
JPNKS,6,Domestic SCCP Gateway
JPNKS,7,SCCP Protocol available at PMN for connection for International SS7 Roaming
JPNKS,8,Subscriber Identity Authentication
JPNKS,9,Test Numbers Information
JPNKS,10,Mobile Application Part (MAP) Section
JPNKS,11,MAP Optimal Routing Section
JPNKS,12,MAP Inter Operator SMS Enhancement
JPNKS,13,Network Elements Information
JPNKS,14,USSD Information
JPNKS,15,CAMEL Information
JPNKS,16,Packet Data Services Information
JPNKS,18,MMS Interworking Information
JPNKS,19,WLAN Information
JPNKS,20,Roaming in Long Term Evolution
JPNKS,22,Hosted Networks
JPNKS,21,Contact Information
JPNKS,23,M2M Roaming Information
JPNKS,24,MVNO Information
JPNKS,26,VoLTE Roaming Information Section
JPNKS,27,LPWA Roaming Information Section
