TADIG Code,Section ID,Section,Date,Description
MOZVC,20,LTE Roaming Information,2022-10-03,IPX Provider name
MOZVC,17,IP Roaming/Networking Information,2022-09-30,GRX provider and DNS updated information
MOZVC,21,Contact Information,2022-08-09,Updating of contacts
MOZVC,13,Network Elements Information,2022-07-18,Old HLR's GT's removed
MOZVC,13,Network Elements Information,2022-07-05,New SMSC GT's
MOZVC,13,Network Elements Information,2022-07-04,New SMSC GT's
MOZVC,13,Network Elements Information,2020-08-25,Added new Cloud HLR's and Cloud MSS's
MOZVC,17,IP Roaming/Networking Information,2020-08-17,New public IP address range for CMM and CMG
MOZVC,5,International SCCP Gateway,2019-06-26,Add new DCP for VRS Hubb
MOZVC,17,IP Roaming/Networking Information,2019-05-02,correction of GRX provider
MOZVC,21,Contact Information,2019-04-24,Roaming coordination contact to be updated soon
MOZVC,20,LTE Roaming Information,2019-04-18,FQDN
MOZVC,13,Network Elements Information,2019-04-16,New HLR FE
MOZVC,16,Packet Data Service Information,2019-04-16,MMS APN removed
MOZVC,16,Packet Data Service Information,2019-04-16,APN type
MOZVC,16,Packet Data Service Information,2019-04-16,WAP disabled
MOZVC,17,IP Roaming/Networking Information,2019-04-16,Add new carrier
MOZVC,17,IP Roaming/Networking Information,2019-04-16,IP redo
MOZVC,20,LTE Roaming Information,2019-04-16,New IPX
MOZVC,20,LTE Roaming Information,2019-04-16,realm
MOZVC,13,Network Elements Information,2018-06-20,Correction of IP range
MOZVC,17,IP Roaming/Networking Information,2018-06-08,LTE information
MOZVC,21,Contact Information,2018-06-08,Contact update
MOZVC,21,Contact Information,2018-06-01,SCCP inqueries and IR21 update team contacts updated
MOZVC,20,LTE Roaming Information,2018-05-31,LTE Information
MOZVC,21,Contact Information,2018-05-31,Contact update
MOZVC,21,Contact Information,2018-05-31,Contact updated
MOZVC,21,Contact Information,2018-05-31,Contact update
MOZVC,17,IP Roaming/Networking Information,2018-05-29,GRX provider
MOZVC,20,LTE Roaming Information,2018-05-29,LTE Information
MOZVC,20,LTE Roaming Information,2018-05-29,LTE information
MOZVC,5,International SCCP Gateway,2018-05-24,carrier
MOZVC,13,Network Elements Information,2018-05-24,New SMSC
MOZVC,16,Packet Data Service Information,2018-05-24,LTE Information
MOZVC,17,IP Roaming/Networking Information,2018-05-24,LTE Information
MOZVC,20,LTE Roaming Information,2018-05-24,LTE information
MOZVC,13,Network Elements Information,2018-05-22,New SGSN and GGSN
MOZVC,13,Network Elements Information,2018-05-22,New GGSN
MOZVC,20,LTE Roaming Information,2018-05-22,LTE roaming information
MOZVC,4,Routing Information,2017-02-28,15-digit MSISDN supported
MOZVC,5,International SCCP Gateway,2017-02-09,"TNS is the new ANSI gateway for Vodacom MOZ, all +1 traffic
destined to Vodacom MOZ should be routed through TNS"
MOZVC,13,Network Elements Information,2016-08-11,New SMSC GT
MOZVC,4,Routing Information,2016-07-04,Add New NDC 85
MOZVC,5,International SCCP Gateway,2016-02-01,"New SCCP Carrier and DPCs. Please route your signalling traffic
via current carrier VRS"
MOZVC,17,IP Roaming/Networking Information,2016-02-01,New IP range 41.76.146.0/24
