Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
GGSN,MAP01FNG,,41.76.146.136,,NOKIA,,+02:00
GGSN,MTL01FNG,,41.76.147.104,,NOKIA,,+02:00
GGSN,FNGMPT02,,41.76.147.225,,NOKIA,,+02:00
MSC/VLR-2G+3G,vMAP01MSS,258 840800800,,,NOKIA,,+02:00
MSC/VLR-2G+3G,vMTL02MSS,258 840800900,,,NOKIA,,+02:00
MSC/VLR-2G+3G,MSS03,258 840800600,,,NOKIA,,+02:00
MSC/VLR-2G+3G,MSS04,258 840800700,,,NOKIA,,+02:00
SGSN,ATCA,258 840800035,41.76.147.86,,NOKIA,,+02:00
SGSN,ATCA,258 840800036,41.76.147.244,,NOKIA,,+02:00
SGSN,MAP02FNS,258 840800038,41.76.146.0/27,,NOKIA,,+02:00
SGSN,MTL01FNS,258 840800037,41.76.147.164/27,,NOKIA,,+02:00
SMSC,SMSC-1,258 84080011,,,CONVERSE,,+02:00
SMSC,SMSC-2,258 84080012,,,HUAWEI,,+02:00
SMSC,SMSC-3,258 84080013,,,HUAWEI,,+02:00
SMSC,SMSC- Site 1,258 84080015,,,Enghouse,,+02:00
SMSC,SMSC- Site 2,258 84080016,,,Enghouse,,+02:00
HLR,Cloud HLR ADC,258 840800716,,,NOKIA,,+02:00
HLR,Cloud HLR MDC,258 840800710,,,NOKIA,,+02:00
SMSC,Offnet Site1,258 840800143,,,EngHouse,,+00:00
SMSC,Offnet Site2,258 840800144,,,EngHouse,,+00:00
