TADIG Code,Section ID,Section,Date,Description
MOZVC,21,Contact Information,2015-09-28,Contacts Update
MOZVC,5,International SCCP Gateway,2015-09-10,"This is the corrected version of our Ir21 distributed on 31st of
August 2015. please route your signaling traffic via current carriers
BICS and Telkom"
MOZVC,15,CAMEL Information,2015-08-31,New OCS GT
MOZVC,16,Packet Data Service Information,2015-08-31,IP ranges
MOZVC,17,IP Roaming/Networking Information,2015-08-31,Add IP ranges
MOZVC,21,Contact Information,2015-08-31,contacts updated
MOZVC,21,Contact Information,2015-07-21,roaming coordinators contact details
MOZVC,5,International SCCP Gateway,2015-04-14,New SCCP carrier and DPCs
MOZVC,5,International SCCP Gateway,2015-04-14,SCCP carrier list
MOZVC,21,Contact Information,2015-03-26,contact update
MOZVC,21,Contact Information,2015-03-25,GRX contact
MOZVC,21,Contact Information,2015-03-25,email addresses
MOZVC,21,Contact Information,2015-03-25,"email addresses corrected, contacts added"
MOZVC,4,Routing Information,2014-07-31,Routing update
MOZVC,7,SCCP Protocol,2014-07-31,SCCP Protocol
MOZVC,8,Subscriber Identity Authentication,2014-07-31,Subscriber Identity Authentication
MOZVC,10,MAP,2014-07-31,MAP update
MOZVC,14,USSD Information,2014-07-31,USSD information
MOZVC,16,Packet Data Service Information,2014-07-31,Packet data
MOZVC,9,Test Numbers Information,2014-07-09,test number
MOZVC,11,MAP Optional Routing,2014-06-17,MAP optimal routing update
MOZVC,12,"MAP Inter Operator SMS
Enhancement",2014-06-17,Map inter oper SMS update
