TADIG Code,Section ID,Section,Date,Description
TONDP,20,LTE Roaming Information,2018-07-27,Update
TONDP,20,LTE Roaming Information,2018-07-27,Update
TONDP,20,LTE Roaming Information,2018-07-27,Update
TONDP,20,LTE Roaming Information,2018-07-27,Update
TONDP,21,Contact Information,2018-07-27,Update
TONDP,13,Network Elements Information,2018-07-06,Changes made to TONDP
TONDP,20,LTE Roaming Information,2018-07-06,update
TONDP,8,Subscriber Identity Authentication,2018-07-03,Update of Subscriber Identity Authentication
TONDP,11,MAP Optional Routing,2018-06-22,Update for MAP Optimal Routing
TONDP,12,"MAP Inter Operator SMS
Enhancement",2018-06-22,Update for MAP Information
TONDP,15,CAMEL Information,2018-06-22,Update of CAMEL Information
TONDP,16,Packet Data Service Information,2018-06-22,Update for Packet-switched data
TONDP,17,IP Roaming/Networking Information,2018-06-22,Update for IP Roaming and inter-working information
TONDP,20,LTE Roaming Information,2018-06-22,Update of LTE Information
TONDP,21,Contact Information,2018-06-22,Update for Contact Information
TONDP,4,Routing Information,2018-06-21,Updating of Digicel Tonga IR21 Info Into RAEX IR.21 format
TONDP,5,International SCCP Gateway,2018-06-21,Update of SCCP Information
TONDP,8,Subscriber Identity Authentication,2018-06-21,Update of Subscriber Identity Authentication
TONDP,10,MAP,2018-06-21,Update of MAP Information
TONDP,21,Contact Information,2018-06-21,Update of Contact Information
