TADIG Code,Section ID,Section,Date,Description
TONDP,5,International SCCP Gateway,2021-11-02,STP Update
TONDP,5,International SCCP Gateway,2021-10-28,Telstra Point Code
TONDP,21,Contact Information,2021-09-22,updated contacts
TONDP,4,Routing Information,2021-01-22,Remove 676 850 5xxx – 850 9xxx
TONDP,4,Routing Information,2021-01-19,Remove 676 850XX replacing with 676 681 range
TONDP,5,International SCCP Gateway,2020-08-10,Additional STP Point Codes
TONDP,4,Routing Information,2020-08-06,Number range 850000 – 8509999
TONDP,17,IP Roaming/Networking Information,2020-08-06,Removing OLD DNS no longer in use 202.129.228.0/26
TONDP,21,Contact Information,2020-08-06,Contacts Update
TONDP,21,Contact Information,2020-06-25,updated contacts
TONDP,21,Contact Information,2020-06-25,Contact Update
TONDP,21,Contact Information,2020-06-25,Update contact distribution
TONDP,21,Contact Information,2020-06-25,Updated Distribution
TONDP,16,Packet Data Service Information,2020-01-28,Change APN Identifier
TONDP,4,Routing Information,2019-08-20,New MSISDN Ranges
TONDP,17,IP Roaming/Networking Information,2019-05-13,Updated IP Routing for Tonga
TONDP,17,IP Roaming/Networking Information,2019-05-13,updated GRX Providers
TONDP,21,Contact Information,2019-02-27,Contact Updated
TONDP,21,Contact Information,2019-02-27,Contact updated
TONDP,4,Routing Information,2019-02-25,Updated Network Global Number
TONDP,4,Routing Information,2019-02-21,Updated Global Routing
TONDP,4,Routing Information,2018-11-26,Update of Routing Information
TONDP,5,International SCCP Gateway,2018-11-26,Update of SCCP Information
TONDP,5,International SCCP Gateway,2018-11-26,Update of SCCP Information
TONDP,13,Network Elements Information,2018-11-26,Update of Network Elements Information
TONDP,20,LTE Roaming Information,2018-11-26,Update of LTE Roaming Information
TONDP,17,IP Roaming/Networking Information,2018-11-01,Updated of IP
TONDP,4,Routing Information,2018-08-29,update
TONDP,4,Routing Information,2018-08-14,Update of MSISDN Range
TONDP,4,Routing Information,2018-08-14,Updates of MSISDN Range
TONDP,13,Network Elements Information,2018-08-08,UPDATE
TONDP,16,Packet Data Service Information,2018-08-08,UPDATE
TONDP,16,Packet Data Service Information,2018-08-08,UPDATE
TONDP,13,Network Elements Information,2018-08-06,Update
TONDP,13,Network Elements Information,2018-08-06,update
TONDP,13,Network Elements Information,2018-08-06,update
TONDP,16,Packet Data Service Information,2018-08-06,update
TONDP,4,Routing Information,2018-07-27,Update
TONDP,4,Routing Information,2018-07-27,Update
TONDP,4,Routing Information,2018-07-27,Update
TONDP,13,Network Elements Information,2018-07-27,Update
TONDP,13,Network Elements Information,2018-07-27,Update
TONDP,13,Network Elements Information,2018-07-27,Update
TONDP,16,Packet Data Service Information,2018-07-27,Update
TONDP,17,IP Roaming/Networking Information,2018-07-27,Update
TONDP,20,LTE Roaming Information,2018-07-27,Update
