Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
HLR,Tonga,676 89 00000 / 00000,,,Huawei,,+13:00
MSC/VLR,Tonga,676 89 00100 / 00100,,,Huawei,,+13:00
SCP,Tonga,676 89 00305 / 00305,,,,,+13:00
SCP,Tonga,676 89 00310 / 00310,,,,,+13:00
SCP,Tonga,676 89 00315 / 00315,,,,,+13:00
SCP,Tonga,676 89 00060 / 00062,,,,,+13:00
SMSC,Tonga,676 89 00030 / 00030,,,IN,,+13:00
SMSC,Tonga,676 89 00110 / 00110,,,IN,,+13:00
SMSC,Tonga,676 89 00112 / 00124,,,IN,,+13:00
SMSC,Tonga,676 89 00175 / 00183,,,IN,,+13:00
SMSC,Tonga,676 89 00185 / 00190,,,IN,,+13:00
SMSC,Tonga,676 89 00250 / 00252,,,IN,,+13:00
SCP,Tonga,676 8900066,,,Redknee,,+13:00
SCP,Tonga,676 8900067,,,Redknee,,+13:00
SMSC,Tonga,676 8900200,,,Redknee,,+13:00
SMSC,Tonga,676 8900210,,,Redknee,,+13:00
SMSC,Tonga,676 8900215,,,Redknee,,+13:00
SGSN,Fiji,679 7000025,202.129.228.0/26,,Huawei,,+12:00
HSS,Fiji,679 7001021,,,Affirmed,,+12:00
HSS,Fiji,679 7001022,,,Affirmed,,+12:00
SGSN,Fiji,679 7001020,45.117.244.128/28,,Affirmed,,+12:00
