TADIG Code,Section ID,Section,Date,Description
PANCL,13,Network Elements Information,2022-03-02,Add VLR
PANCL,17,IP Roaming/Networking Information,2022-01-17,Remove DNS servers
PANCL,16,Packet Data Service Information,2021-06-01,Adding Web APN (IMS for VoLTE only) & Adding IPV6
PANCL,20,LTE Roaming Information,2021-06-01,"Adding VoLTE information (IMS, QoS Profile, Vdras) & Adding
IPV6 information"
PANCL,21,Contact Information,2021-06-01,Updated Contact Information
PANCL,26,VoLTE Roaming Information Section,2021-06-01,Adding VoLTE Section
PANCL,4,Routing Information,2020-09-30,New MSISDN Number Range
PANCL,17,IP Roaming/Networking Information,2020-07-16,Add DNS Servers
PANCL,17,IP Roaming/Networking Information,2020-07-16,Add IP Backbone
PANCL,17,IP Roaming/Networking Information,2020-07-15,Update GRX provider
PANCL,20,LTE Roaming Information,2020-07-15,Update IPX provider
PANCL,21,Contact Information,2020-06-26,Contact List
PANCL,21,Contact Information,2020-06-26,Contact List
PANCL,4,Routing Information,2020-03-05,New MSISDN Range 617XXXXX
PANCL,13,Network Elements Information,2020-02-14,New PGW
PANCL,17,IP Roaming/Networking Information,2020-02-14,New IP Range
PANCL,13,Network Elements Information,2019-10-01,New PGW -C and SPGW
PANCL,17,IP Roaming/Networking Information,2019-10-01,New IP Address Range
PANCL,17,IP Roaming/Networking Information,2019-04-15,Add ASN
PANCL,13,Network Elements Information,2019-02-06,New SMSC
PANCL,4,Routing Information,2018-08-23,MSRN ranges update
PANCL,5,International SCCP Gateway,2018-08-23,International SCCP Carrier change
PANCL,16,Packet Data Service Information,2018-08-23,APN type
PANCL,17,IP Roaming/Networking Information,2018-08-23,GRX provider added
PANCL,20,LTE Roaming Information,2018-08-23,EPC Realms
PANCL,20,LTE Roaming Information,2018-08-23,EPC Realms
PANCL,20,LTE Roaming Information,2018-08-23,IPX provider
PANCL,21,Contact Information,2018-08-23,Contact List Changes
PANCL,13,Network Elements Information,2017-06-09,"Delete SGSN 50762000922, Delete MSS 50762090006"
PANCL,13,Network Elements Information,2017-05-23,Delete MSC/VLR 50762090006
PANCL,20,LTE Roaming Information,2016-06-06,LTE Roaming Information
PANCL,13,Network Elements Information,2016-06-02,Add SGW
PANCL,21,Contact Information,2016-06-02,Contact list change
PANCL,21,Contact Information,2016-02-10,Changes in contacts
PANCL,13,Network Elements Information,2015-11-24,New IN GT
PANCL,4,Routing Information,2015-08-19,New MSRN Number Ranges
PANCL,17,IP Roaming/Networking Information,2015-08-19,ASN Number change
PANCL,4,Routing Information,2015-06-01,New MSC MSS02PAN
PANCL,17,IP Roaming/Networking Information,2015-06-01,ASN change and it appears on Routing section
PANCL,13,Network Elements Information,2015-05-29,New MSC MSS02PAN
PANCL,4,Routing Information,2015-03-30,New ASN
PANCL,17,IP Roaming/Networking Information,2015-03-30,ASN change and it appears on Routing section
PANCL,17,IP Roaming/Networking Information,2015-01-07,ASN4B Change
PANCL,17,IP Roaming/Networking Information,2014-11-27,New ASN
PANCL,17,IP Roaming/Networking Information,2014-11-27,PMN IP Backbone
PANCL,13,Network Elements Information,2014-10-08,Delete HLR 507 62090001
