TADIG Code,Section ID,Section,Date,Description
PANCL,17,IP Roaming/Networking Information,2014-09-23,Delete IP Backbone
PANCL,17,IP Roaming/Networking Information,2014-04-24,New SGSN and GGSN
PANCL,17,IP Roaming/Networking Information,2014-03-25,DNS Name
PANCL,4,Routing Information,2014-03-21,New MSISDN ranges
PANCL,13,Network Elements Information,2014-03-21,New HLR
PANCL,4,Routing Information,2014-01-24,E.214 Mobile Global Title Change
PANCL,17,IP Roaming/Networking Information,2014-01-17,New PMN IP Backbone
PANCL,4,Routing Information,2013-12-04,"New MSISDN Range 629XXXXX, 630XXXXX"
PANCL,4,Routing Information,2013-12-04,"New MSISDN Ranges 629xxxxx, 630xxxxx"
PANCL,16,Packet Data Service Information,2013-11-26,New SGSN
PANCL,16,Packet Data Service Information,2013-11-26,New SGSN
PANCL,5,International SCCP Gateway,2013-11-19,Change
PANCL,13,Network Elements Information,2013-11-19,New SGSN
PANCL,13,Network Elements Information,2013-11-19,New SGSN
PANCL,13,Network Elements Information,2013-11-18,New SGSN
PANCL,16,Packet Data Service Information,2013-11-18,New SGSN
PANCL,16,Packet Data Service Information,2013-08-30,WAP Port Number
PANCL,4,Routing Information,2013-07-08,New MSISDN Range 507 628X XXXX
PANCL,17,IP Roaming/Networking Information,2013-06-20,New PMN IP Backbone
PANCL,21,Contact Information,2013-05-22,Troubleshooting Contact List
PANCL,21,Contact Information,2013-05-22,Contact List
PANCL,21,Contact Information,2013-05-22,Contact List
PANCL,21,Contact Information,2013-05-22,Office Hours
PANCL,21,Contact Information,2013-05-22,Contact list
PANCL,21,Contact Information,2013-05-22,Contact list
PANCL,21,Contact Information,2013-05-22,E-mails Address
PANCL,21,Contact Information,2013-05-22,Contact List
PANCL,21,Contact Information,2013-05-22,CONTACT LIST
PANCL,21,Contact Information,2013-05-22,PANCLIR21
PANCL,4,Routing Information,2012-12-03,New NDC
PANCL,21,Contact Information,2012-12-03,IR.21 Distribution List
PANCL,21,Contact Information,2012-11-30,Contacts
PANCL,5,International SCCP Gateway,2012-11-29,International SCCP Gateway added
