TADIG code:,PANCL
Network name:,Claro Panama
Network type:,Terrestrial
Technology:,Frequency list:
2G-GSM frequencies:,PCS 1900
3G-UTRA/FDD frequencies:,2 - PCS 1900
3G-UTRA/TDD frequencies:,Unsupported
4G-E-UTRAN frequencies:,28 - 700 MHz APAC
4G-E-UTRAN-MIoT-LTE-M frequencies:,Unsupported
4G-E-UTRAN-MIoT-NB-IoT frequencies:,Unsupported
MIoT-NB-IoT deployment modes:,Unsupported
5G NR frequencies:,Unsupported
Other technology - VoLTE:,1900
Presentation of country initials and MNN:,Claro Panamá
Abbreviated MNN:,PANCL
