Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
SMSC,,41 799915434 0000 / 9999,,,,,-03:00
HLR,Clinicas,54 1151740014,,,Huawei,,-03:00
HLR,Belgrano,54 1151740015,,,Huawei,,-03:00
HLR,Munro,54 1151740016,,,Huawei,,-03:00
HLR,,54 34990140,,,,,-03:00
HLR,,54 34990141,,,,,-03:00
HLR,,54 34990147,,,,,-03:00
MME,MME1BEL,54 34990040,,,,,-03:00
MME,MME1BEL,54 34990040,,,,,-03:00
MME,MME2BEL,54 34990041,,,,,-03:00
MME,MME2BEL,54 34990041,,,,,-03:00
MME,MME1MUN,54 34990042,,,,,-03:00
MME,MME1MUN,54 34990042,,,,,-03:00
MME,MME2MUN,54 34990043,,,,,-03:00
MME,MME2MUN,54 34990043,,,,,-03:00
MME,MME1CLI,54 34990044,,,,,-03:00
MME,MME1CLI,54 34990044,,,,,-03:00
MME,MME2CLI,54 34990045,,,,,-03:00
MME,MME2CLI,54 34990045,,,,,-03:00
MMSC,MMSC01,54 34990103,,,Ericsson,,-03:00
MSC/VLR-2G+3G,CLI1MSC,54 1151740092,,,HUAWEI,,-03:00
MSC/VLR-2G+3G,BEL1MSC,54 1151740093,,,HUAWEI,,-03:00
MSC/VLR-2G+3G,MUN1MSC,54 1151740094,,,HUAWEI,,-03:00
MSC/VLR-2G+3G,,54 34 990500 / 990599,,,ERICSSON,,-03:00
MSC/VLR-2G+3G,,54 34 990200 / 990214,,,Huawei,,-03:00
MSC/VLR-2G+3G,,54 34 990400 / 990499,,,ERICSSON,,-03:00
Other,DGW6BELu3,,,,Huawei,,-03:00
Other,DGW6BELu2,,,,Huawei,,-03:00
Other,DGW6BLEu4,,,,Huawei,,-03:00
Other,DGW6BELu5,,,,Huawei,,-03:00
Other,DGW6BELu6,,,,Huawei,,-03:00
Other,DGW6BELu7,,,,Huawei,,-03:00
Other,DGW6BELu8,,,,Huawei,,-03:00
Other,DGW6MUNu1,,,,Huawei,,-03:00
Other,DGW6MUNu2,,,,Huawei,,-03:00
Other,DGW6MUNu3,,,,Huawei,,-03:00
Other,DGW6MUNu4,,,,Huawei,,-03:00
Other,DGW6MUNu5,,,,Huawei,,-03:00
PGW,PGW1MUNa,,195.211.13.246,,,,-03:00
PGW,PGW1MUNb,,195.211.13.246,,,,-03:00
PGW,PGW1BELa,,195.211.13.246,,,,-03:00
PGW,PGW1BELb,,195.211.13.246,,,,-03:00
PGW,CGW6HORc1,,195.211.13.246,,Huawei,,-03:00
PGW,CGW6SLOc1,,195.211.13.246,,Huawei,,-03:00
PGW,DGW6BELS5u1,,195.211.13.246,,Huawei,,-03:00
PGW,DGW6MUNS5Y5,,195.211.13.246,,HUAWEI,,-03:00
PGW,DGW6MUNS5U1,,195.211.13.246,,HUAWEI,,-03:00
PGW,DGW6MUNS5U2,,195.211.13.246,,HUAWEI,,-03:00
PGW,DGW6MUNS5U3,,195.211.13.246,,HUAWEI,,-03:00
PGW,DGW6MUNS5U4,,195.211.13.246,,HUAWEI,,-03:00
PGW,PGW1CLIa,,195.211.13.246,,,,-03:00
PGW,PGW1CLIb,,195.211.13.246,,,,-03:00
PGW,PGW2CLIa,,195.211.13.246,,,,-03:00
PGW,PGW2CLIb,,195.211.13.246,,,,-03:00
PGW,PGW2CLIc,,195.211.13.246,,,,-03:00
PGW,PGW2MUNa,,195.211.13.246,,,,-03:00
PGW,PGW2MUNb,,195.211.13.246,,,,-03:00
PGW,PGW1MZAa,,195.211.13.246,,,,-03:00
PGW,PGW1MZAb,,195.211.13.246,,,,-03:00
PGW,PGW1BHBa,,195.211.13.246,,,,-03:00
