Date,Description
2022-09-30,ADD NEW SGW AND PGW
2022-08-02,ADD NEW NODES CGW and DGW
2020-11-24,Modify GT of SCP nodes 5434990064/5434990065
2020-04-02,New Elemen Network (5434990140;5434990141;5434990147;541151740047;5434990146;5434990152;5434990153)
2019-06-21,new VLR/MSC node ( GT 5434990200&&5434990214)
2018-12-04,Delete old MSC/VLR
2018-12-04,Remove node SGSN Ericsson
2018-07-12,"Remove OLD HLRs
( HLR01,HLR04,HLR06,MTD2HLR,MTD1HLR,CLI1HLR ,HLR02,HLR03,HLR07,,HLR05,HLR08,hlr09,,CLI2HLR ,DAR2HLR )"
2018-03-13,"Operator specific SMS-C network node range added with Key2roam Hub prefix 41799915434 in order to ensure that all traffic
can be exchanged for certain mixed SMS-IW scenarios"
2018-03-13,"SMS-C network nodes with Key2roam Hub prefixes 4179991 and 4179995 removed due to simplifications of the Alias GT
mechanism"
2017-11-01,"Modify GT of HLR Cinicas, Munro and Belgrano. New GT : 541151740014,541151740015;541151740016"
2017-10-26,"Add NEW HLR/HSS ( GT=541151000228,541151000229,541151000230,541151000231"
2017-03-21,"SMS-C network nodes added with Key2roam Hub prefixes 4179991 and 4179995 in order to ensure that all traffic can be
exchanged for certain mixed SMS-IW scenarios"
