TADIG Code,"Alias TADIG
Code",Section ID,Section,Date,Description
ARGTP,ARGK9,13,Network Elements Information,2022-09-30,ADD NEW SGW AND PGW
ARGTP,ARGK9,17,IP Roaming/Networking Information,2022-08-12,"Backbones added: 77.32.226.0/27,
77.32.226.32/27, 77.32.226.64/27,
77.32.226.96/27, 77.32.226.128/27,
77.32.226.160/27, 77.32.226.192/27,
77.32.226.224/27. Backbone removed:
77.32.226.0/24"
ARGTP,ARGK9,13,Network Elements Information,2022-08-02,ADD NEW NODES CGW and DGW
ARGTP,ARGK9,26,VoLTE Roaming Information Section,2021-11-19,Add VOLTE Information
ARGTP,ARGK9,4,Routing Information,2021-10-29,Delete Duplicate MSRN
ARGTP,ARGK9,4,Routing Information,2021-10-28,Delete duplicate MSISDN
ARGTP,ARGK9,4,Routing Information,2021-10-14,Add MSISDN Ranges
ARGTP,ARGK9,13,Network Elements Information,2020-11-24,"Modify GT of SCP nodes
5434990064/5434990065"
ARGTP,ARGK9,13,Network Elements Information,2020-04-02,"New Elemen Network
(5434990140;5434990141;5434990147;541151740"
ARGTP,ARGK9,9,Test Numbers Information,2020-04-01,New AAC test NUMBER
ARGTP,ARGK9,9,Test Numbers Information,2020-03-20,Change AAC TEST NUMBER
ARGTP,ARGK9,4,Routing Information,2019-12-23,"remove MSISDN range 54114091000 to
541140999999"
ARGTP,ARGK9,13,Network Elements Information,2019-06-21,"new VLR/MSC node ( GT
5434990200&&5434990214)"
ARGTP,ARGK9,17,IP Roaming/Networking Information,2019-05-13,New virtual IP range added 185.47.26.0/25
ARGTP,ARGK9,16,Packet Data Service Information,2019-03-20,add Type of APN
ARGTP,ARGK9,16,Packet Data Service Information,2019-03-20,remove APN mnc341.mcc722.gprs
ARGTP,ARGK9,13,Network Elements Information,2018-12-04,Delete old MSC/VLR
ARGTP,ARGK9,13,Network Elements Information,2018-12-04,Remove node SGSN Ericsson
ARGTP,ARGK9,17,IP Roaming/Networking Information,2018-09-25,"New IP address range 77.32.226.0/24 added to
be used as virtual IP addresses for new Key2roam
Hub members"
ARGTP,ARGK9,13,Network Elements Information,2018-07-12,"Remove OLD HLRs
( HLR01,HLR04,HLR06,MTD2HLR,MTD1HLR,CLI1"
ARGTP,ARGK9,4,Routing Information,2018-03-13,"Key2roam Hub GT prefixes 4179991 and
4179995 removed from MSISDN Number Ranges
and Network Node GT Number Range due to
simplifications of the Alias GT mechanism"
ARGTP,ARGK9,4,Routing Information,2018-03-13,"Network specific Key2roam Hub GT prefix
41799915434 added in Network Node GT Number
Range due to simplifications of the Alias GT
mechanism"
ARGTP,ARGK9,13,Network Elements Information,2018-03-13,"Operator specific SMS-C network node range
added with Key2roam Hub prefix 41799915434 in
order to ensure that all traffic can be exchanged
for certain mixed SMS-IW scenarios"
ARGTP,ARGK9,13,Network Elements Information,2018-03-13,"SMS-C network nodes with Key2roam Hub
prefixes 4179991 and 4179995 removed due to
simplifications of the Alias GT mechanism"
ARGTP,ARGK9,21,Contact Information,2018-03-13,New Escalation Contact for Troubleshooting
ARGTP,ARGK9,13,Network Elements Information,2017-11-01,"Modify GT of HLR Cinicas,
Munro and Belgrano. New GT :
541151740014,541151740015;541151740016"
ARGTP,ARGK9,13,Network Elements Information,2017-10-26,"Add NEW HLR/HSS
( GT=541151000228,541151000229,54115100023"
ARGTP,ARGK9,4,Routing Information,2017-10-20,"add MSRN 29544820,29544821,29544822"
