Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
SMSC,,54 34990137,,,,,-03:00
SMSC,,54 34990138,,,,,-03:00
SMSC,,54 34990139,,,,,-03:00
SMSC,,54 34990142,,,,,-03:00
SMSC,,54 34990143,,,,,-03:00
SMSC,,54 34990144,,,,,-03:00
SMSC,,54 34990145,,,,,-03:00
SMSC,,54 34990146,,,,,-03:00
SMSC,,54 34990150,,,,,-03:00
SMSC,,54 34990151,,,,,-03:00
SMSC,,54 34990152,,,,,-03:00
SMSC,,54 34990153,,,,,-03:00
SMSC,,54 34990154,,,,,-03:00
SMSC,,54 34990155,,,,,-03:00
