"CCITT
E.164
Number
series","Country
Code
(CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number","Operator
ID","Translation
Type",Location
MSISDN number ranges (s),,,,,,,,,,
,54,385,4497000,4497999,,,,,,
,54,385,4499000,4499999,,,,,,
,54,385,4600000,4609999,,,,,,
,54,385,4686000,4687999,,,,,,
,54,385,4693000,4693999,,,,,,
,54,385,4740000,4749999,,,,,,
,54,385,4780000,4789999,,,,,,
,54,385,4840000,4899999,,,,,,
,54,385,4907000,4907999,,,,,,
,54,385,5010000,5029999,,,,,,
,54,385,5040000,5079999,,,,,,
,54,385,5350000,5399999,,,,,,
,54,385,5403000,5414999,,,,,,
,54,385,5430000,5437999,,,,,,
,54,385,5495000,5495999,,,,,,
,54,385,5672000,5673999,,,,,,
,54,385,5700000,5799999,,,,,,
,54,385,5800000,5939999,,,,,,
,54,385,6096000,6098999,,,,,,
,54,385,6100000,6199999,,,,,,
,54,385,6400000,6406999,,,,,,
,54,385,6410000,6418999,,,,,,
,54,385,6430000,6439999,,,,,,
,54,385,6450000,6459999,,,,,,
,54,385,6476500,6481999,,,,,,
,54,385,6494000,6495999,,,,,,
,54,385,6677000,6678999,,,,,,
,54,385,6770000,6780000,,,,,,
,54,385,6790000,6792999,,,,,,
,54,385,6799000,6799999,,,,,,
,54,385,6880000,6889999,,,,,,
,54,385,6890000,6894999,,,,,,
,54,385,6970000,6989999,,,,,,
,54,385,7400000,7417999,,,,,,
,54,385,7435000,7435999,,,,,,
,54,385,7440000,7449999,,,,,,
,54,385,7460000,7469999,,,,,,
,54,385,7470000,7470999,,,,,,
,54,385,7472000,7476999,,,,,,
,54,385,7483000,7489999,,,,,,
,54,385,7674000,7676999,,,,,,
,54,385,8409000,8409999,,,,,,
,54,385,8416000,8416999,,,,,,
,54,385,8430000,8430999,,,,,,
