TADIG code:,ARGTP
Network name:,ARGTP - TELECOM PERSONAL
Network type:,Terrestrial
Technology:,Frequency list:
2G-GSM frequencies:,"GSM 850, PCS 1900"
3G-UTRA/FDD frequencies:,"5 - 850 MHz, 2 - PCS 1900, 8 - 900 MHz"
3G-UTRA/TDD frequencies:,Unsupported
4G-E-UTRAN frequencies:,"4 - AWS, 28 - 700 MHz APAC, 2 - PCS 1900, 8 - 900 MHz, 7 - 2.6 GHz"
4G-E-UTRAN-MIoT-LTE-M frequencies:,Unsupported
4G-E-UTRAN-MIoT-NB-IoT frequencies:,Unsupported
MIoT-NB-IoT deployment modes:,Unsupported
5G NR frequencies:,Unsupported
Presentation of country initials and MNN:,ARG
Abbreviated MNN:,ARGTP
