Date,Description
2016-09-09,New IP range 103.4.245.32/30 is added.
2016-06-20,"New ASN 65450 and 61262 added. New IP range 185.39.52.24/29, 185.39.54.24/29, 193.240.51.81/32, 193.240.51.82/32,
192.234.88.32/28, 192.234.88.96/28, 4.15.38.105/32, 4.15.38.106/32. GRX Provider Info updated."
2016-04-08,New ASN 9874 and 65010 added. New IP range 103.231.49.128/26 added.
2016-02-22,"New IP range 203.116.42.16/29, 203.116.42.24/29, 203.116.42.32/27, 203.116.42.64/28, 203.116.22.144/28,
203.116.22.160/27 and 183.78.8.0/24 is added. New ASN 45960 is added. New DNS address 203.116.22.244 (Pri),
203.116.42.28 (Sec) added."
2015-11-07,"New ASN 18004, 4832 and 64569 added. New IP Range 27.146.1.0/27, 27.146.1.32/27 and 202.62.29.0/24 added."
2015-08-28,New ASN 22870 for Syniverse GRX migration is added.
2015-06-26,New Inter-PLMN IP added.
2015-05-08,ASN 38322 is added. New IP Range 42.153.1.0/24 is added.
2015-03-04,ASN 64851 is added.
2015-02-13,"New ASN 131591 added. While waiting for the next new schema version 9.2 to be ready, ASN 131591 is added to Additional
Information field in Routing section."
2014-11-06,New IP Range 103.231.48.128/26 is added. Note: Only applicable when StarHub is HPMN.
2014-11-03,Info for second IMSI range 525-08 (SGPMM) is removed.
2014-08-18,"New IP Range 199.255.4.0/24 added. Note: IP add 199.255.4.0/24 ,116.68.0.16/28 and 116.68.0.32/28 are only applicable
when StarHub is HPMN."
2014-05-30,New IP address ranges added.
2014-01-21,StarHub introduced 2nd IMSI range and TADIG code (M2M roaming).
