"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8520,,,,,
,65,8521,,,,,
,65,8526,,,,,
,65,8527,,,,,
,65,8528,,,,,
,65,8529,,,,,
,65,8530,,,,,
,65,8531,,,,,
,65,8538,,,,,
,65,8557,,,,,
,65,8559,,,,,
,65,8560,,,,,
,65,8561,,,,,
,65,8562,,,,,
,65,8563,,,,,
,65,8564,,,,,
,65,8565,,,,,
,65,8566,,,,,
,65,8567,,,,,
,65,8568,,,,,
,65,8569,,,,,
,65,8570,,,,,
,65,8571,,,,,
,65,8572,,,,,
,65,8592,,,,,
,65,8593,,,,,
,65,8594,,,,,
,65,8596,,,,,
,65,8597,,,,,
,65,8598,,,,,
,65,8599,,,,,
,65,8601,,,,,
,65,8602,,,,,
,65,8603,,,,,
,65,8604,,,,,
,65,8605,,,,,
,65,8606,,,,,
,65,8607,,,,,
,65,8608,,,,,
,65,8609,,,,,
,65,8658,,,,,
,65,8659,,,,,
,65,8660,,,,,
,65,8661,,,,,
,65,8680,,,,,
