Date,Description
2018-08-20,Added IP address range to SGSN-3G GT. Added MSC/VLR GT 65 9854 0007. GT 65 98540057 and 65 98540058 removed.
2018-05-11,New MMSC +65 98541097 added.
2017-09-01,"SGSN-2G+3G 65 90247976-7 removed. 3G 65 98540057-8 updated. SMSC GT 65 98541096 added. StarHub MVNO SMSC
numbers added"
2016-09-09,"New SMSC GT +65 6598541097 and +65 6598541098, and SGSN +65 98541093 are added."
2015-12-22,New MSC/VLR +65 98541095 and SGSN +65 6598541085 added.
2015-08-28,+65 98540023/24/26/28 node type changed to MSC/VLR.
2015-05-08,New NT-HLR GT 6598541011 to 6598541018 and 6598541021 to 6598541025 added.
2014-11-06,SMSC GT 65 8241 is removed.
2014-08-18,No new change. Table is rearranged for easy viewing.
2014-04-30,New MSC/VLR +65 90247912 added.
2014-01-21,"MAP Gateway/SMSC Nos: 65 98540023-98540024, 65 98540026 & 65 985440028 are added. StarHub introduced 2nd IMSI
range and TADIG code (M2M roaming)."
2013-08-12,New GMSC nodes GT 6598540002/3 added.
