Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
HLR,,65 98540010,,,,,+08:00
HLR,,65 98540011,,,,,+08:00
HLR,,65 98541011,,,,,+08:00
HLR,,65 98541012,,,,,+08:00
HLR,,65 98541013,,,,,+08:00
HLR,,65 98541014,,,,,+08:00
HLR,,65 98541015,,,,,+08:00
HLR,,65 98541016,,,,,+08:00
HLR,,65 98541017,,,,,+08:00
HLR,,65 98541018,,,,,+08:00
HLR,,65 98541021,,,,,+08:00
HLR,,65 98541022,,,,,+08:00
HLR,,65 98541023,,,,,+08:00
HLR,,65 98541024,,,,,+08:00
HLR,,65 98541025,,,,,+08:00
MMSC,,65 90247926,,,,,+08:00
MMSC,,65 90247972,,,,,+08:00
MMSC,,65 98541097,,,,,+08:00
MSC/VLR,,65 90247912,,,,,+08:00
MSC/VLR,,65 98540002,,,,,+08:00
MSC/VLR,,65 98540003,,,,,+08:00
MSC/VLR,,65 98540005,,,,,+08:00
MSC/VLR,,65 98540006,,,,,+08:00
MSC/VLR,,65 98540008,,,,,+08:00
MSC/VLR,,65 98540009,,,,,+08:00
MSC/VLR,,65 98540023,,,,,+08:00
MSC/VLR,,65 98540024,,,,,+08:00
MSC/VLR,,65 98540026,,,,,+08:00
MSC/VLR,,65 98540028,,,,,+08:00
MSC/VLR,,65 98541095,,,,,+08:00
SGSN-3G,,65 98541085,203.116.42.64/26,,,,+08:00
SGSN-3G,,65 98541093,203.116.22.160/27,,,,+08:00
SMSC,,65 90247944,,,,,+08:00
SMSC,,65 90247948,,,,,+08:00
SMSC,,65 90247966,,,,,+08:00
SMSC,,65 90247967,,,,,+08:00
SMSC,,65 90247968,,,,,+08:00
SMSC,,65 90247969,,,,,+08:00
SMSC,,65 98540020,,,,,+08:00
SMSC,,65 98540021,,,,,+08:00
SMSC,,65 98540022,,,,,+08:00
SMSC,,65 98540025,,,,,+08:00
SMSC,,65 98540027,,,,,+08:00
SMSC,,65 98540029,,,,,+08:00
SMSC,,65 98540034,,,,,+08:00
SMSC,,65 98540035,,,,,+08:00
SMSC,,65 98540042,,,,,+08:00
SMSC,,65 98540045,,,,,+08:00
SMSC,,65 98541096,,,,,+08:00
SMSC,,65 98541097,,,,,+08:00
SMSC,,65 98541098,,,,,+08:00
SMSC,,65 98541100,,,,,+08:00
SMSC,,65 98541101,,,,,+08:00
SMSC,,65 98541102,,,,,+08:00
SMSC,,65 98541110,,,,,+08:00
SMSC,,65 98541111,,,,,+08:00
SMSC,,65 98541112,,,,,+08:00
MSC/VLR,,65 98540007,,,,,+08:00
