Date,Description
2018-08-21,Correction: EPC realm should read epc.mnc005.mcc525.3gppnetwork.org
2018-08-20,IPX Provider Info added.
2017-10-24,Applicable to SGPMM.
2016-10-06,GSMA new format
2015-05-08,Diameter and LTE QoS Profile List updated.
2014-11-03,Info for second IMSI range 525-08 (SGPMM) is removed.
2014-05-30,New IP Address 203.116.249.252 added.
2014-03-05,2G/3G/LTE Roaming Agreement Scenario 3 & 4 updated.
2014-01-21,StarHub introduced 2nd IMSI range and TADIG code (M2M roaming).
2013-05-04,LTE information is added.
