Date,Description
2023-08-09,"Add GRX Provider ""BBIX"""
2023-02-28,new PGW IP 74.118.67.0/27
2023-01-05,"Update inter-PMN IP backbone address ranges: remove 213.144.191.216/29, add 213.144.191.56/29, add
213.144.191.224/29, add 213.144.191.216/30, add 213.144.191.220/30"
2021-10-04,Add inter-PMN IP backbone address range 213.144.191.216/29
2021-06-11,Add inter-PMN IP backbone address ranges 74.118.67.32/27; Add ASN 36060
2021-06-11,Remove BICS from GRX Provider.
2021-03-11,Add New IP range and ASN
2020-07-22,Add inter-PMN IP backbone address ranges: 131.166.165.48/29
2020-04-03,"Add inter-PMN IP backbone address ranges: 131.166.134.0/24; 131.166.136.0/24; 131.166.130.0/24;
131.166.132.0/24;131.166.163.32/29;131.166.165.32/29"
2020-04-03,Add ASN 22870 and 3321
2020-04-03,"Add remarks for GRX provider ""PCCW Global""."
2019-08-30,Update the GRX Provider information of PCCW Global
2019-08-30,Remove the ASN 18101 and 3321
2019-04-30,Primary provider updated.
2018-05-21,Add RAI and ULI Additional MCC/MNC 454 16.
2018-05-21,Remove PMN authoritative and local caching DNS server IP addresses 203.210.11.129
2018-02-12,"Remove 454/16 from of ""RAI/ULI Additional MCC/MNC List""."
2018-02-12,"Remove IP 203.210.10.129 of ""List of PMN authoritative/local caching DNS server IP addresses and names""."
2018-02-12,"Re-arrange the sequence of ""List of PMN authoritative/local caching DNS server IP addresses and names""."
2017-09-27,"Delete the non advertising IP_address 110.4.26.160/28, 115.255.8.0/25, 131.166.254.0/29."
2017-09-27,"PCCWG (merged its IPX domains with SAP’s domains into a single domain and shares the same AS with SAP since
Jun2017)."
2017-02-03,Add authoritative and local cashing DNS server IP 203.210.11.68 and 203.210.11.69.
2016-11-24,"Add authoritative/local caching DNS service IP 203.210.11.84 and 203.210.11.85. Remove GRX provider ""SAP""."
2016-08-25,No change
2016-04-01,Create a Combined IR21 of HKGTC and HKGM3
