Date,Description
2023-08-09,"Add IPX Provider Name ""BBIX"""
2022-09-14,LTE QoS profiles added
2022-09-14,LTE QoS profiles added
2022-09-13,LTE QoS profiles added
2021-06-11,Update the IPv6 Connectivity Information
2020-12-08,No new S6a Diameter connection to Syniverse IPX.
2020-04-03,"Add remarks for IPX Provider Name ""PCCW Global""."
2019-08-30,"For security reason, remove the host name of HKT DEA"
2019-08-30,Update the IPX Provider Name information of PCCW Global
2019-04-30,Primary provider updated.
2018-12-14,Add IPX_Provider_Name info to fulfill new RAEX schema.
2018-12-14,Add IPX_Provider_Name info to fulfill new RAEX schema.
2018-12-13,Add IPX Provider Information
2016-10-14,"After the ""maintenance window"" of RAEX Tools on 13-Oct-2016 17:00 to 19:00 BST, we can choose ""Unsupport"" for 2G/3G
LTE Roaming Agreement Scenario 5 without ""validate error"", so, we change back to ""Unsupport"" for bug error."
2016-10-13,"According to IR 88 V 14.0, updated 2G/3G LTE Roaming Agreement Scenario 5 to ""Support"""
2016-04-01,Create a Combined IR21 of HKGTC and HKGM3
