TADIG Code,Section ID,Section,Date,Description
HKGM3,17,GRX/IPX routing for data roaming,2020-04-03,"Add remarks for GRX provider ""PCCW Global""."
HKGM3,20,LTE Roaming Information,2020-04-03,"Add remarks for IPX Provider Name ""PCCW Global""."
HKGTC,4,Routing Information,2019-08-30,Add new MSISDN Range(s) 852 4614 and 852 6362
HKGTC,17,GRX/IPX routing for data roaming,2019-08-30,Update the GRX Provider information of PCCW Global
HKGTC,17,GRX/IPX routing for data roaming,2019-08-30,Remove the ASN 18101 and 3321
HKGTC,20,LTE Roaming Information,2019-08-30,"For security reason, remove the host name of HKT DEA"
HKGTC,20,LTE Roaming Information,2019-08-30,Update the IPX Provider Name information of PCCW Global
HKGM3,17,GRX/IPX routing for data roaming,2019-08-30,Update the GRX Provider information of PCCW Global
HKGM3,17,GRX/IPX routing for data roaming,2019-08-30,Remove the ASN 18101 and 3321
HKGM3,20,LTE Roaming Information,2019-08-30,"For security reason, remove the host name of HKT DEA"
HKGM3,20,LTE Roaming Information,2019-08-30,Update the IPX Provider Name information of PCCW Global
HKGTC,4,Routing Information,2019-04-30,New MSISDN Range 852 4613
HKGTC,17,GRX/IPX routing for data roaming,2019-04-30,Primary provider updated.
HKGTC,20,LTE Roaming Information,2019-04-30,Primary provider updated.
HKGM3,17,GRX/IPX routing for data roaming,2019-04-30,Primary provider updated.
HKGM3,20,LTE Roaming Information,2019-04-30,Primary provider updated.
HKGTC,20,LTE Roaming Information,2018-12-14,Add IPX_Provider_Name info to fulfill new RAEX schema.
HKGTC,20,LTE Roaming Information,2018-12-14,Add IPX_Provider_Name info to fulfill new RAEX schema.
HKGM3,20,LTE Roaming Information,2018-12-14,Add IPX_Provider_Name info to fulfill new RAEX schema.
HKGTC,20,LTE Roaming Information,2018-12-13,Add IPX Provider Information
HKGM3,13,Network Elements Information,2018-12-13,Remove those obsoleted network elements
HKGM3,20,LTE Roaming Information,2018-12-13,Add IPX Provider Information
HKGTC,4,Routing Information,2018-12-12,"Add new MSIDN Range 852 4611, 852 4640, 852 5749 and 852
8481"
HKGTC,13,Network Elements Information,2018-12-12,Add new SMSC GT 852 902 40727
HKGM3,13,Network Elements Information,2018-12-12,Add new SMSC GT 852 902 40727
HKGTC,4,Routing Information,2018-05-21,Add New MSISDN Range 852 4610 and 852 6360
HKGTC,13,Network Elements Information,2018-05-21,"Add New SMSC GT Address 85290240718, 85290240733."
HKGTC,13,Network Elements Information,2018-05-21,Add New SCP GT Address 85290240717.
HKGTC,17,GRX/IPX routing for data roaming,2018-05-21,Add RAI and ULI Additional MCC/MNC 454 16.
HKGTC,17,GRX/IPX routing for data roaming,2018-05-21,"Remove PMN authoritative and local caching DNS server IP
addresses 203.210.11.129"
HKGM3,4,Routing Information,2018-05-21,Remove MSISDN Range 852 4647
HKGM3,13,Network Elements Information,2018-05-21,"Add New SMSC GT Address 85290240718, 85290240733."
HKGM3,13,Network Elements Information,2018-05-21,Add New SCP GT Address 85290240717.
HKGM3,17,GRX/IPX routing for data roaming,2018-05-21,Add RAI and ULI Additional MCC/MNC 454 16.
HKGM3,17,GRX/IPX routing for data roaming,2018-05-21,"Remove PMN authoritative and local caching DNS server IP
addresses ""202.4.198.36"" & ""203.210.11.129""."
HKGTC,4,Routing Information,2018-02-13,"Modify the wording of ""Additional Information""."
HKGTC,4,Routing Information,2018-02-13,"Remove the wording HKGMC/454 16 and 45416 from segment ""a""
of ""Additional Information [1] GENERAL INFORMATION""."
HKGTC,4,Routing Information,2018-02-13,"Remove 45416 from ""segment ""c"" of ""Additional Information - [2]
PACKET DATA SERVICS INFORMATION""."
HKGTC,4,Routing Information,2018-02-13,"HKT has migrated all customers with HKGMC/45416 IMSI level
to either HKGTC/45400 or HKGM3/45419. HKGMC/45416 will
no longer be used for our outbound roaming, effective on 01st
January 2018."
HKGM3,4,Routing Information,2018-02-13,"Modify the wording of ""Additional Information""."
HKGM3,4,Routing Information,2018-02-13,"Remove MCC MNC 454 16 to MGT (CC) MGT (NC) 852 923 from
""Networks"" of ""Additional Infromation""."
