TADIG Code,Section ID,Section,Date,Description
HKGM3,17,GRX/IPX routing for data roaming,2021-10-04,Add inter-PMN IP backbone address range 213.144.191.216/29
HKGTC,13,Network Elements Information,2021-06-17,"Add SMSC 85290240541xxxx; Add SCP 85290240545xxxx; Add
HLR 85290240546xxxx, 85290240547xxxx, 85290240548xxxx"
HKGTC,13,Network Elements Information,2021-06-11,"Add PGW: 74.118.67.32/27; Add SCP 85290240601; Add SMSC:
85290240581, 85290240505, 85290240506, 85290240507,
85290240508, 85290240509, 85290240602"
HKGTC,16,Packet Data Service Information,2021-06-11,Update the IPv6 Connectivity Information
HKGTC,17,GRX/IPX routing for data roaming,2021-06-11,"Add inter-PMN IP backbone address ranges 74.118.67.32/27; Add
ASN 36060"
HKGTC,17,GRX/IPX routing for data roaming,2021-06-11,Remove BICS from GRX Provider.
HKGTC,20,LTE Roaming Information,2021-06-11,Update the IPv6 Connectivity Information
HKGTC,21,Contact Information,2021-06-11,"Update IREG testing, CAMEL testing, GRX connectivity at PMN,
and Other contacts."
HKGM3,16,Packet Data Service Information,2021-06-11,Update the IPv6 Connectivity Information
HKGM3,17,GRX/IPX routing for data roaming,2021-06-11,Remove BICS from GRX Provider.
HKGM3,20,LTE Roaming Information,2021-06-11,Update the IPv6 Connectivity Information
HKGM3,21,Contact Information,2021-06-11,"Update IREG testing, CAMEL testing, GRX connectivity at PMN,
and Other contacts."
HKGTC,13,Network Elements Information,2021-03-11,Add New information of SCP/SMSC/PGW
HKGTC,17,GRX/IPX routing for data roaming,2021-03-11,Add New IP range and ASN
HKGM3,13,Network Elements Information,2021-03-11,Add New information of SCP/SMSC/PGW
HKGM3,17,GRX/IPX routing for data roaming,2021-03-11,Add New IP range and ASN
HKGTC,16,Packet Data Service Information,2021-03-09,Add 3 New APNs in WEB List
HKGM3,16,Packet Data Service Information,2021-03-09,Add 3 New APNs in WEB List
HKGTC,20,LTE Roaming Information,2020-12-08,No new S6a Diameter connection to Syniverse IPX.
HKGM3,20,LTE Roaming Information,2020-12-08,No new S6a Diameter connection to Syniverse IPX.
HKGTC,4,Routing Information,2020-07-22,Add new MSISDN Range 852 8480
HKGTC,4,Routing Information,2020-07-22,"Add item ""i"" under ""DIAMETER INFORMATION"" in ""Additional
Information"" to describe the realm of HKT."
HKGTC,13,Network Elements Information,2020-07-22,Add PGW 131.166.165.48/29
HKGTC,17,GRX/IPX routing for data roaming,2020-07-22,Add inter-PMN IP backbone address ranges: 131.166.165.48/29
HKGM3,4,Routing Information,2020-07-22,"Add item ""i"" under ""DIAMETER INFORMATION"" in ""Additional
Information"" to describe the realm of HKT."
HKGM3,13,Network Elements Information,2020-07-22,Add PGW 131.166.165.48/29
HKGM3,17,GRX/IPX routing for data roaming,2020-07-22,Add inter-PMN IP backbone address ranges: 131.166.165.48/29
HKGTC,4,Routing Information,2020-04-03,"Add new MSISDN Range(s) 852 4654; 852 4655; 852 4656; 852
4657; 852 4658; 852 7080; 852 7081; 852 7082; 852 7083; 852
7084;"
HKGTC,4,Routing Information,2020-04-03,Add MSISDN Range(s) 852 5149
HKGTC,13,Network Elements Information,2020-04-03,Add PGW 131.166.163.32/29 and PGW 131.166.165.32/29
HKGTC,17,GRX/IPX routing for data roaming,2020-04-03,"Add inter-PMN IP backbone address ranges:
131.166.134.0/24; 131.166.136.0/24; 131.166.130.0/24;
131.166.132.0/24;131.166.163.32/29;131.166.165.32/29"
HKGTC,17,GRX/IPX routing for data roaming,2020-04-03,Add ASN 22870 and 3321
HKGTC,17,GRX/IPX routing for data roaming,2020-04-03,"Add remarks for GRX provider ""PCCW Global""."
HKGTC,20,LTE Roaming Information,2020-04-03,"Add remarks for IPX Provider Name ""PCCW Global""."
HKGM3,13,Network Elements Information,2020-04-03,Add PGW 131.166.163.32/29 and PGW 131.166.165.32/29
HKGM3,13,Network Elements Information,2020-04-03,Add MSC/VLR +85292394627
HKGM3,17,GRX/IPX routing for data roaming,2020-04-03,"Add inter-PMN IP backbone address ranges:
131.166.134.0/24; 131.166.136.0/24; 131.166.130.0/24;
131.166.132.0/24;131.166.163.32/29;131.166.165.32/29"
HKGM3,17,GRX/IPX routing for data roaming,2020-04-03,Add ASN 22870 and 3321
