Date,Description
2023-08-09,Add new MSISDN Ranges 8524679; 8528482
2023-08-09,Add info to fulfill new RAEX schema
2023-08-09,Additional info being simplified to fulfill new RAEX schema
2022-07-05,"Add new MSISDN Ranges 852441, 852578"
2022-05-26,"Add new MSISDN Ranges 8524445-8524449, 8529590-8529594, 8524678, 8529291"
2021-10-04,Remove MSISDN Range(s) 852 5140; 852 5142; 852 5144
2020-07-22,Add new MSISDN Range 852 8480
2020-07-22,"Add item ""i"" under ""DIAMETER INFORMATION"" in ""Additional Information"" to describe the realm of HKT."
2020-04-03,"Add new MSISDN Range(s) 852 4654; 852 4655; 852 4656; 852 4657; 852 4658; 852 7080; 852 7081; 852 7082; 852 7083;
852 7084;"
2020-04-03,Add MSISDN Range(s) 852 5149
2019-08-30,Add new MSISDN Range(s) 852 4614 and 852 6362
2019-04-30,New MSISDN Range 852 4613
2018-12-12,"Add new MSIDN Range 852 4611, 852 4640, 852 5749 and 852 8481"
2018-05-21,Add New MSISDN Range 852 4610 and 852 6360
2018-02-13,"Modify the wording of ""Additional Information""."
2018-02-13,"Remove the wording HKGMC/454 16 and 45416 from segment ""a"" of ""Additional Information [1] GENERAL INFORMATION""."
2018-02-13,"Remove 45416 from ""segment ""c"" of ""Additional Information - [2] PACKET DATA SERVICS INFORMATION""."
2018-02-13,"HKT has migrated all customers with HKGMC/45416 IMSI level to either HKGTC/45400 or HKGM3/45419. HKGMC/45416 will
no longer be used for our outbound roaming, effective on 01st January 2018."
2017-09-27,Add New MSISDN Number range 852 4647
2017-09-27,Add new MNP number ranges 852 4x/7x/8x
2017-09-27,"Add MSISDN 852 (5140-5144), 852 520, 852 532, 852 (5702-5703)"
2017-05-31,Add back the missing HKGTC MSISDN 852923
2017-05-31,Modify the MNP Range same as HKGM3
2017-05-31,"Modify the ""Additional Information:PLMN used in Radio Broadcast: (essential if HPLMN analyze them during CAMEL PSI,
IDP)"""
2017-02-07,Add back the missing HKGTC MSISDN 852933
2016-11-24,Add new MNP range 852 5702 xxxx to 852 5703 xxxx
2016-10-13,Add new MNP range 852 5720 - 852 5729
2016-10-13,Sort the E.164 number ranges for number portability
2016-05-10,Add new MNP number range
,
