Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
SMSC,852 902 09572 / 09572,,,,+08:00
SMSC,852 902 11047 / 11047,,,,+08:00
SMSC,852 902 12247 / 12247,,,,+08:00
SMSC,852 902 15647 / 15647,,,,+08:00
SMSC,852 902 16724 / 16724,,,,+08:00
SMSC,852 902 18347 / 18347,,,,+08:00
SMSC,852 902 19461 / 19461,,,,+08:00
SMSC,852 902 24047 / 24047,,,,+08:00
SMSC,852 902 24147 / 24147,,,,+08:00
SMSC,852 902 25124 / 25124,,,,+08:00
SMSC,852 902 25614 / 25614,,,,+08:00
SMSC,852 902 25814 / 25814,,,,+08:00
SMSC,852 902 26124 / 26124,,,,+08:00
SMSC,852 902 26714 / 26714,,,,+08:00
SMSC,852 902 26914 / 26914,,,,+08:00
SMSC,852 902 33686 / 33688,,,,+08:00
SMSC,852 902 37773 / 37775,,,,+08:00
SMSC,852 902 39090 / 39092,,,,+08:00
SMSC,852 902 39093 / 39093,,,,+08:00
SMSC,852 902 40505 / 40509,,,,+08:00
SMSC,852 902 40515 / 40515,,,,+08:00
SMSC,852 902 40561 / 40561,,,,+08:00
SMSC,852 902 40581 / 40581,,,,+08:00
SMSC,852 902 40591 / 40591,,,,+08:00
SMSC,852 902 40602 / 40602,,,,+08:00
SMSC,852 902 40712 / 40712,,,,+08:00
SMSC,852 902 40715 / 40715,,,,+08:00
SMSC,852 902 40718 / 40718,,,,+08:00
SMSC,852 902 40723 / 40726,,,,+08:00
SMSC,852 902 40727 / 40727,,,,+08:00
SMSC,852 902 40731 / 40731,,,,+08:00
SMSC,852 902 40733 / 40733,,,,+08:00
SMSC,852 902 40960 / 40969,,,,+08:00
SMSC,852 902 40970 / 40973,,,,+08:00
SMSC,852 902 40980 / 40980,,,,+08:00
SMSC,852 902 40981 / 40982,,,,+08:00
SMSC,852 902 40983 / 40983,,,,+08:00
SMSC,852 902 40984 / 40986,,,,+08:00
SMSC,852 902 43454 / 43454,,,,+08:00
SMSC,852 902 43964 / 43964,,,,+08:00
SMSC,852 902 49574 / 49574,,,,+08:00
SMSC,852 902 49904 / 49904,,,,+08:00
SMSC,852 902 50108 / 50110,,,,+08:00
SMSC,852 902 50282 / 50282,,,,+08:00
SMSC,852 902 50714 / 50714,,,,+08:00
SMSC,852 902 50742 / 50742,,,,+08:00
SMSC,852 902 50842 / 50842,,,,+08:00
SMSC,852 902 55224 / 55224,,,,+08:00
SMSC,852 902 55581 / 55581,,,,+08:00
SMSC,852 902 55586 / 55586,,,,+08:00
SMSC,852 902 55647 / 55647,,,,+08:00
SMSC,852 902 55742 / 55742,,,,+08:00
SMSC,852 902 56014 / 56014,,,,+08:00
SMSC,852 902 56444 / 56444,,,,+08:00
SMSC,852 902 56447 / 56447,,,,+08:00
SMSC,852 902 56542 / 56542,,,,+08:00
SMSC,852 902 57144 / 57144,,,,+08:00
SMSC,852 902 57224 / 57224,,,,+08:00
SMSC,852 902 57614 / 57614,,,,+08:00
SMSC,852 902 57724 / 57724,,,,+08:00
SMSC,852 902 58342 / 58342,,,,+08:00
SMSC,852 902 59435 / 59435,,,,+08:00
SMSC,852 902 59824 / 59824,,,,+08:00
SMSC,852 902 60314 / 60314,,,,+08:00
SMSC,852 902 60342 / 60342,,,,+08:00
