Date,Description
2023-02-28,"new PGW IP 74.118.67.0/27, 74.118.67.32/27, 131.166.130.0/24, 131.166.132.0/24, 131.166.134.0/24, 131.166.136.0/24,
213.144.191.56/29, 213.144.191.224/29, 213.144.191.216/30, 213.144.191.220/30"
2021-10-04,Add SMSC 85290240515; Add SCP 85290240600
2021-03-11,Add New information of SCP/SMSC/PGW
2020-07-22,Add PGW 131.166.165.48/29
2020-04-03,Add PGW 131.166.163.32/29 and PGW 131.166.165.32/29
2020-04-03,Add MSC/VLR +85292394627
2018-12-13,Remove those obsoleted network elements
2018-12-12,Add new SMSC GT 852 902 40727
2018-05-21,"Add New SMSC GT Address 85290240718, 85290240733."
2018-05-21,Add New SCP GT Address 85290240717.
2018-02-12,Add two new SMSC GT addresses 85290240715 and 85290240731.
2017-02-03,"Add SMSC GT Address 85290240712, 852902407(23-26) and SCP GT address 8529024071(3-4)"
2016-05-10,Add new SMSC address
2016-04-01,Create a Combined IR21 of HKGTC and HKGM3
