"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","Network
owner",Location
MSISDN number ranges (s),,,,,,,,
,852,682,,,,,MNO,
,852,689,,,,,MNO,
,852,697,,,,,MNO,
,852,902,,,,,MNO,
,852,903,,,,,MNO,
,852,908,,,,,MNO,
,852,909,,,,,MNO,
,852,910,,,,,MNO,
,852,915,,,,,MNO,
,852,918,,,,,MNO,
,852,919,,,,,MNO,
,852,921,,,,,MNO,
,852,923,,,,,MNO,
,852,925,,,,,MNO,
,852,926,,,,,MNO,
,852,930,,,,,MNO,
,852,933,,,,,MNO,
,852,940,,,,,MNO,
,852,946,,,,,MNO,
,852,953,,,,,MNO,
,852,955,,,,,MNO,
,852,961,,,,,MNO,
,852,962,,,,,MNO,
,852,965,,,,,MNO,
,852,976,,,,,MNO,
,852,978,,,,,MNO,
,852,987,,,,,MNO,
,852,988,,,,,MNO,
,852,4610,0,9,,,MNO,
,852,4611,0,9,,,MNO,
,852,4613,0,9,,,MNO,
,852,4614,0,9,,,MNO,
,852,4640,0,9,,,MNO,
,852,4647,0,9,,,MNO,
,852,5749,0,9,,,MNO,
,852,6362,0,9,,,MNO,
,852,8481,0,9,,,MNO,
,852,4654,0,9,,,MNO,
,852,4655,0,9,,,MNO,
,852,4656,0,9,,,MNO,
,852,4657,0,9,,,MNO,
,852,4658,0,9,,,MNO,
,852,7080,0,9,,,MNO,
,852,7081,0,9,,,MNO,
,852,7082,0,9,,,MNO,
