E. 164 Number Ranges due to Number Portability,CC,NDC,SN Range Start,SN Range Stop
,852,42,2,
,852,43,3,
,852,44,0,
,852,45,1,
,852,46,0,
,852,47,0,
,852,51,0,
,852,52,0,
,852,53,0,
,852,54,0,
,852,55,0,
,852,56,0,
,852,57,0,
,852,59,0,
,852,60,1,
,852,61,0,
,852,62,0,
,852,63,0,
,852,64,0,
,852,65,0,
,852,66,0,
,852,67,0,
,852,68,0,
,852,69,0,
,852,70,1,
,852,71,4,
,852,71,7,
,852,72,4,
,852,73,4,
,852,82,4,
,852,82,8,
,852,83,5,
,852,83,8,
,852,84,0,
,852,85,3,
,852,86,0,
,852,87,0,
,852,89,0,
,852,90,1,
,852,91,0,
,852,91,2,
,852,92,0,
,852,93,0,
,852,94,0,
,852,95,0,
,852,96,0,
